"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","twitter_account","youtube_account","govtrack_id","icpsr_id","google_entity_id","fec_candidate_id","url","in_office","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","cspan_id","facebook_account","votesmart_id","crp_id","rss_url","suffix","cook_pvi"
"B000081","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000081.json","John","Baldacci","1955-01-30","M","D",,,"400525","29528",,"","",false,"2",1340,19,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:me/cd:2","ME","2",false,"2302",1.42,90.5,10.77,,,,,,,,
"B000104","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000104.json","Cass","Ballenger","1926-12-06","M","R",,,"400015","15401",,"","",false,"12",1340,18,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:nc/cd:10","NC","10",false,"3710",1.34,96.56,4.69,,,,,,,,
"B000134","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000134.json","James","Barcia","1952-02-25","M","D",,,"400526","29363",,"","",false,"4",1340,19,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:mi/cd:5","MI","5",false,"2605",1.42,78.55,22.73,"A.",,,,,,,
"B000169","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000169.json","Bob","Barr","1948-11-05","M","R",,,"400514","29511",,"","",false,"2",1340,22,2,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ga/cd:7","GA","7",false,"1307",1.64,96.23,5.03,,,,,,,,
"B000177","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000177.json","Thomas","Barrett","1953-12-08","M","D",,,"400553","39315",,"","",false,"4",1340,10,1,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:wi/cd:5","WI","5",false,"5505",0.75,87.73,13.54,"M.",,,,,,,
"B000179","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000179.json","Bill","Barrett","1929-02-09","M","R",,,"400568","15805",,"","",false,"6",1340,8,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ne/cd:3","NE","3",false,"3103",0.6,96.04,5.21,,,,,,,,
"B000208","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000208.json","Roscoe","Bartlett","1926-06-03","M","R",,"RepRoscoeBartlett","400017","29356","/m/025k82","","",false,"4",1340,14,1,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:md/cd:6","MD","6",false,"2406",1.04,96.88,4.37,"G.","27026",,,,,,
"B000213","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000213.json","Joe","Barton","1949-09-15","M","R","RepJoeBarton","repjoebarton","400018","15085","/m/03rspq","","https://joebarton.house.gov",false,"12",1340,54,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:tx/cd:6","TX","6",false,"4806",4.03,93.25,7.96,"L.","5248","RepJoeBarton","27082","N00005656",,,
"B000220","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000220.json","Charles","Bass","1952-01-08","M","R","RepCharlesBass",,"400019","29538","/m/02vypx","","",false,"2",1340,13,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:nh/cd:2","NH","2",false,"3302",0.97,92.77,8.32,"F.","37079",,,,,,
"B000229","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000229.json","Herbert","Bateman","1928-08-07","M","R",,,"400569","15002",,"","",false,"14",1340,131,6,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:va/cd:1","VA","1",false,"5101",9.78,93.15,8.13,"H.",,,,,,,
"B000287","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000287.json","Xavier","Becerra","1958-01-26","M","D","RepBecerra","XavierBecerra","400021","29316","/m/024trk","","http://becerra.house.gov",false,"4",1340,167,6,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ca/cd:30","CA","30",false,"0630",12.46,90.21,11.05,,"26567","XavierBecerra",,,"https://becerra.house.gov/rss/press-releases.xml",,
"B000318","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000318.json","Anthony","Beilenson","1932-10-26","M","D",,,"401310","14405",,"","",false,"20",1340,20,1,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ca/cd:24","CA","24",false,"0624",1.49,89.71,11.56,"C.",,,,,,,
"B000400","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000400.json","Ken","Bentsen","1959-06-03","M","D",,,"400550","29574",,"","",false,"2",1340,8,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:tx/cd:25","TX","25",false,"4825",0.6,87.75,13.52,,,,,,,,
"B000403","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000403.json","Douglas","Bereuter","1939-10-06","M","R",,,"400023","14605",,"","",false,"18",1340,8,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ne/cd:1","NE","1",false,"3101",0.6,88.35,12.9,"K.",,,,,,,
"B000410","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000410.json","Howard","Berman","1941-04-15","M","D","RepHowardBerman","RepHowardBerman","400025","15004",,"","",false,"14",1340,123,1,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ca/cd:26","CA","26",false,"0626",9.18,92.85,8.1,"L.","1592",,,,,,
"B000431","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000431.json","Tom","Bevill","1921-03-27","M","D",,,"401417","11000",,"","",false,"30",1340,48,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:al/cd:4","AL","4",false,"0104",3.58,74.02,27.28,,,,,,,,
"B000461","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000461.json","Brian","Bilbray","1951-01-28","M","R","BilbrayCA50",,"400570","29508",,"","",false,"2",1340,38,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ca/cd:49","CA","49",false,"0649",2.84,90.22,11.05,"P.","36554",,,,,,
"B000463","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000463.json","Michael","Bilirakis","1930-07-16","M","R",,,"400028","15005",,"","",false,"14",1340,18,1,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:fl/cd:9","FL","9",false,"1209",1.34,94.6,6.66,,,,,,,,
"B000490","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000490.json","Sanford","Bishop","1947-02-04","M","D","SanfordBishop","RepSanfordBishop","400030","29339","/m/02554k","","https://bishop.house.gov",false,"4",1340,65,2,"2021-03-02 02:35:25 -0500","ocd-division/country:us/state:ga/cd:2","GA","2",false,"1302",4.85,86.2,14.87,"D.","26194","sanfordbishop","26817","N00002674","https://bishop.house.gov/rss.xml","Jr.",
"B000556","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000556.json","Tom","Bliley","1932-01-28","M","R",,,"400571","14802",,"","",false,"16",1340,39,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:va/cd:7","VA","7",false,"5107",2.91,97.14,4.05,,,,,,,,
"B000574","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000574.json","Earl","Blumenauer","1948-08-16","M","D","BlumenauerMedia","RepBlumenauer","400033","29588","/m/033tw8","","https://blumenauer.house.gov",false,"2",256,12,0,"2021-03-02 02:35:25 -0500","ocd-division/country:us/state:or/cd:3","OR","3",false,"4103",4.69,92.8,7.2,,"43809",,"367","N00007727","https://blumenauer.house.gov/rss.xml",,
"B000576","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000576.json","Peter","Blute","1956-01-28","M","R",,,"401547","29357",,"","",false,"4",1340,17,2,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ma/cd:3","MA","3",false,"2503",1.27,85.31,15.86,"I.",,,,,,,
"B000586","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000586.json","Sherwood","Boehlert","1936-09-28","M","R",,,"400035","15006",,"","",false,"14",1340,9,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ny/cd:23","NY","23",false,"3623",0.67,80.87,20.37,"L.",,,,,,,
"B000589","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000589.json","John","Boehner","1949-11-17","M","R","SpeakerBoehner","johnboehner","400036","15806","/m/039rwf","","http://boehner.house.gov",false,"6",1340,27,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:oh/cd:8","OH","8",false,"3908",2.01,97.95,3.31,"A.","16740","SpeakerJohnBoehner",,,,,
"B000617","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000617.json","Henry","Bonilla","1954-01-02","M","R",,,"400037","39302",,"","",false,"4",1340,27,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:tx/cd:23","TX","23",false,"4823",2.01,95.67,5.51,,,,,,,,
"B000619","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000619.json","David","Bonior","1945-06-06","M","D",,,"400527","14407",,"","",false,"20",1340,9,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:mi/cd:10","MI","10",false,"2610",0.67,92.09,9.09,"E.",,,,,,,
"B000622","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000622.json","Sonny","Bono","1935-02-16","M","R",,,"401587","29507",,"","",false,"2",1340,57,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ca/cd:44","CA","44",false,"0644",4.25,96.86,4.35,,,,,,,,
"B000644","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000644.json","Robert","Borski","1948-10-20","M","D",,,"400542","15007",,"","",false,"14",1340,29,5,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:pa/cd:3","PA","3",false,"4203",2.16,90.03,11.25,"A.",,,,,,,
"B000657","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000657.json","Rick","Boucher","1946-08-01","M","D",,,"400043","15009","/m/01_k5m","","",false,"14",1340,69,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:va/cd:9","VA","9",false,"5109",5.15,85.97,15.18,,"6736",,,,,,
"B000817","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000817.json","Bill","Brewster","1941-11-08","M","D",,,"401774","15807",,"","",false,"6",1340,50,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ok/cd:3","OK","3",false,"4003",3.73,56.76,44.38,"K.",,,,,,,
"B000897","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000897.json","Glen","Browder","1943-01-15","M","D",,,"401854","15635",,"","",false,"8",1340,55,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:al/cd:3","AL","3",false,"0103",4.1,70.28,31.03,,,,,,,,
"B000911","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000911.json","Corrine","Brown","1946-11-11","F","D","RepCorrineBrown","CongresswomanBrown","400048","29328","/m/0251xd","","https://corrinebrown.house.gov",false,"4",1340,68,4,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:fl/cd:3","FL","3",false,"1203",5.07,92.14,9.11,,"26192","congresswomanbrown",,,"https://corrinebrown.house.gov/rss.xml",,
"B000918","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000918.json","George","Brown","1920-03-06","M","D",,,"400572","10573",,"","",false,"32",1340,96,1,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ca/cd:42","CA","42",false,"0642",7.16,91.98,9.21,"E.",,,,,,,
"B000944","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000944.json","Sherrod","Brown","1952-11-09","M","D","SenSherrodBrown","SherrodBrownOhio","400050","29389","/m/034s80","","https://www.brown.senate.gov",false,"4",1340,27,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:oh/cd:13","OH","13",false,"3913",2.01,91.67,9.62,,"5051","SenatorSherrodBrown","27018","N00003535",,,
"B000953","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000953.json","Sam","Brownback","1956-09-12","M","R","SenSamBrownback","SenatorSamBrownback","300013","29523","/m/0202ny","","",false,"2",1340,45,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ks/cd:2","KS","2",false,"2002",3.36,94.56,6.71,,,,,,,,
"B000996","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000996.json","Ed","Bryant","1948-09-07",,"R",,,"400549","29569",,"","",false,"2",1340,21,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:tn/cd:7","TN","7",false,"4707",1.57,97.57,3.69,,,,,,,,
"B000997","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000997.json","John","Bryant","1947-02-22","M","D",,,"401947","15012",,"","",false,"14",1340,159,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:tx/cd:5","TX","5",false,"4805",11.87,93.04,8.21,"W.",,,,,,,
"B001063","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001063.json","Jim","Bunn","1956-12-12",,"R",,,"402010","29558",,"","",false,"2",1340,14,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:or/cd:5","OR","5",false,"4105",1.04,88.76,12.49,,,,,,,,
"B001066","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001066.json","Jim","Bunning","1931-10-23","M","R",,"SenJimBunning","300014","15405","/m/0lbm2","","",false,"10",1340,17,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ky/cd:4","KY","4",false,"2104",1.27,96.56,4.69,,"1457",,,,,,
"B001135","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001135.json","Richard","Burr","1955-11-30","M","R","SenatorBurr","SenatorRichardBurr","400054","29548","/m/03g_s9","","https://www.burr.senate.gov",false,"2",1340,12,1,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:nc/cd:5","NC","5",false,"3705",0.9,96.19,4.98,"M.","31054","SenatorRichardBurr","21787","N00002221",,,
"B001149","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001149.json","Dan","Burton","1938-06-21","M","R","RepDanBurton","CongressmanDanBurton","400055","15013","/m/022r4p","","",false,"14",1340,24,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:in/cd:6","IN","6",false,"1806",1.79,95.28,5.97,,,,,,,,
"B001203","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001203.json","Steve","Buyer","1958-11-26","M","R",,"sbuyer","400056","29350","/m/02578l","","",false,"4",1340,37,1,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:in/cd:5","IN","5",false,"1805",2.76,97.62,3.65,,"26475",,,,,,
"C000052","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000052.json","Sonny","Callahan","1932-09-11",,"R",,,"400500","15207",,"","",false,"12",1340,43,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:al/cd:1","AL","1",false,"0101",3.21,95.62,5.58,,,,,,,,
"C000059","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000059.json","Ken","Calvert","1953-06-08","M","R","KenCalvert","RepKenCalvert","400057","29323","/m/024xl1","","https://calvert.house.gov",false,"4",1340,47,0,"2021-03-02 02:35:27 -0500","ocd-division/country:us/state:ca/cd:43","CA","43",false,"0643",3.51,97.28,3.83,,"26709","70063393423","26777","N00007099","https://calvert.house.gov/rss.xml",,
"C000071","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000071.json","Dave","Camp","1953-07-09","M","R","RepDaveCamp","DaveCampYT","400058","29124","/m/03l8yr","","http://camp.house.gov",false,"6",1340,14,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:mi/cd:4","MI","4",false,"2604",1.04,93.99,7.26,,"23039","repdavecamp",,,,,
"C000100","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000100.json","Tom","Campbell","1952-08-14","M","R",,,"400573","15601",,"","",false,"6",477,1,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ca/cd:15","CA","15",false,"0615",0.21,77.75,22.25,,,,,,,,
"C000107","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000107.json","Charles","Canady","1954-06-22","M","R",,,"400574","29332",,"","",false,"4",1340,9,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:fl/cd:12","FL","12",false,"1212",0.67,96.19,5.05,"T.",,,,,,,
"C000141","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000141.json","Benjamin","Cardin","1943-10-05","M","D","SenatorCardin","senatorcardin","400064","15408","/m/025k3k","","https://www.cardin.senate.gov",false,"10",1340,24,7,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:md/cd:3","MD","3",false,"2403",1.79,88.97,12.31,"L.","4004","senatorbencardin","26888","N00001955",,,
"C000243","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000243.json","Michael","Castle","1939-07-02","M","R","repmikecastle","mncastle","400070","29327",,"","",false,"4",1340,0,1,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:de/cd:1","DE","At-Large",true,"1000",0,86.49,14.75,"N.","70",,,,,,
"C000266","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000266.json","Steven","Chabot","1953-01-22","M","R","RepSteveChabot","congressmanchabot","400071","29550","/m/0343vk","","https://chabot.house.gov",false,"2",1340,12,0,"2021-03-02 02:35:28 -0500","ocd-division/country:us/state:oh/cd:1","OH","1",false,"3901",0.9,91.12,10.12,"J.","36705","RepSteveChabot","21790","N00003689",,,
"C000286","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000286.json","Saxby","Chambliss","1943-11-10","M","R","SaxbyChambliss","SenatorChambliss","300021","29512","/m/01xcms","","http://www.chambliss.senate.gov",false,"2",1340,8,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ga/cd:8","GA","8",false,"1308",0.6,97.83,3.42,,"36571","SaxbyChambliss",,,,,
"C000312","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000312.json","Jim","Chapman","1945-03-08","M","D",,,"402454","15242",,"","",false,"12",1340,271,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:tx/cd:1","TX","1",false,"4801",20.22,74.39,26.49,,,,,,,,
"C000345","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000345.json","Helen","Chenoweth-Hage","1938-01-27","F","R",,,"400575","29514",,"","",false,"2",1340,71,1,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:id/cd:1","ID","1",false,"1601",5.3,91.35,9.87,,,,,,,,
"C000377","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000377.json","Jon","Christensen","1963-02-20","M","R",,,"402516","29536",,"","",false,"2",1340,17,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ne/cd:2","NE","2",false,"3102",1.27,94.76,6.49,,,,,,,,
"C000385","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000385.json","Dick","Chrysler","1942-04-29",,"R",,,"402524","29530",,"","",false,"2",1340,32,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:mi/cd:8","MI","8",false,"2608",2.39,95.02,6.17,,,,,,,,
"C000488","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000488.json","William","Clay","1931-04-30","M","D",,,"402626","12009",,"","",false,"28",1340,126,2,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:mo/cd:1","MO","1",false,"2901",9.4,90.27,10.95,,,,,,,,
"C000494","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000494.json","Eva","Clayton","1934-09-16","F","D",,,"400532","29382",,"","",false,"6",1340,37,1,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:nc/cd:1","NC","1",false,"3701",2.76,94.18,7.03,,,,,,,,
"C000503","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000503.json","Bob","Clement","1943-09-23","M","D",,,"400548","15449",,"","",false,"10",1340,24,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:tn/cd:5","TN","5",false,"4705",1.79,82.25,18.94,,,,,,,,
"C000523","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000523.json","William","Clinger","1929-04-04","M","R",,,"402657","14612",,"","",false,"18",1340,59,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:pa/cd:5","PA","5",false,"4205",4.4,93.21,8.08,"F.",,,,,,"Jr.",
"C000537","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000537.json","James","Clyburn","1940-07-21","M","D","WhipClyburn","repjamesclyburn","400075","39301","/m/03c469","","https://clyburn.house.gov",false,"4",1340,28,2,"2021-03-02 02:35:29 -0500","ocd-division/country:us/state:sc/cd:6","SC","6",false,"4506",2.09,89.66,11.55,"E.","21607","jameseclyburn","27066","N00002408",,,
"C000556","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000556.json","Howard","Coble","1931-03-18","M","R","HowardCoble",,"400076","15092","/m/0263k5","","http://coble.house.gov",false,"12",1340,4,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:nc/cd:6","NC","6",false,"3706",0.3,92.5,8.66,,"6961","HowardCoble6",,,,,
"C000560","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000560.json","Tom","Coburn","1948-03-14","M","R","TomCoburn","SenatorCoburn","400576","29555","/m/03wnjr","","http://www.coburn.senate.gov",false,"2",1340,42,1,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ok/cd:2","OK","2",false,"4002",3.13,90.51,10.77,,"36751",,,,,,
"C000621","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000621.json","Ronald","Coleman","1941-11-29","M","D",,,"402750","15017",,"","",false,"14",1340,69,2,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:tx/cd:16","TX","16",false,"4816",5.15,89.81,11.52,"D.",,,,,,,
"C000633","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000633.json","Barbara-Rose","Collins","1939-04-13","F","D",,,"402762","15809",,"","",false,"6",1339,256,1,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:mi/cd:15","MI","15",false,"2615",19.12,90.81,10.44,,,,,,,,
"C000634","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000634.json","Cardiss","Collins","1931-09-24","F","D",,,"402763","14068",,"","",false,"24",1340,224,4,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:il/cd:7","IL","7",false,"1707",16.72,91.12,10.2,,"1965",,,,,,
"C000640","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000640.json","Michael","Collins","1944-10-15","M","R",,,"400078","29340",,"","",false,"4",1340,12,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ga/cd:3","GA","3",false,"1303",0.9,96.88,4.36,"Allen",,,,,,,
"C000653","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000653.json","Larry","Combest","1945-03-20","M","R",,,"400079","15210",,"","",false,"12",1340,1,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:tx/cd:19","TX","19",false,"4819",0.07,95.52,5.72,,,,,,,,
"C000670","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000670.json","Gary","Condit","1948-04-21","M","D",,,"400505","15638",,"","",false,"8",1340,35,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:ca/cd:18","CA","18",false,"0618",2.61,62.4,38.73,,,,,,,,
"C000714","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000714.json","John","Conyers","1929-05-16","M","D","RepJohnConyers","JCMI14","400080","10713","/m/02hy5d","","https://conyers.house.gov/",false,"32",1340,82,1,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:mi/cd:14","MI","14",false,"2614",6.12,89.29,12.05,,"1824","CongressmanConyers","26904","N00004029",,"Jr.",
"C000737","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000737.json","Wes","Cooley","1932-03-28",,"R",,,"402858","29557",,"","",false,"2",1340,9,2,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:or/cd:2","OR","2",false,"4102",0.67,90.05,11.2,,,,,,,,
"C000794","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000794.json","Jerry","Costello","1949-09-25","M","D","jerrycostello",,"400082","15452",,"","",false,"10",1340,27,0,"2019-10-08 03:06:16 -0400","ocd-division/country:us/state:il/cd:12","IL","12",false,"1712",2.01,81.67,19.54,"F.","6352",,,,,,
