"id","title","short_title","api_uri","first_name","last_name","date_of_birth","party","govtrack_id","icpsr_id","fec_candidate_id","url","in_office","seniority","total_votes","missed_votes","total_present","last_updated","ocd_id","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","gender","twitter_account","youtube_account","cspan_id","google_entity_id","suffix","next_election","facebook_account","votesmart_id","crp_id","rss_url"
"B000919","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/B000919.json","Hank","Brown","1940-02-12","R","401874","14803","","",false,"1",550,9,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:co","CO","2","","S214",1.64,83.15,16.85,,"M",,,,,,,,,,
"B000993","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000993.json","Richard","Bryan","1937-07-16","D","400557","15701","","",false,"3",550,1,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nv","NV","1","","S206",0.18,84.54,15.46,"H.","M",,,,,,,,,,
"B001057","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001057.json","Dale","Bumpers","1925-08-12","D","402004","14300","","",false,"17",550,11,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ar","AR","3","","S014",2,84.63,15.37,,"M",,,,,,,,,,
"B001077","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001077.json","Quentin","Burdick","1908-06-19","D","402023","1252","","",false,"31",469,45,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nd","ND","1","","S015",9.59,89.23,10.77,"Northrup",,,,,,,,,,,
"B001076","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001076.json","Jocelyn","Burdick","1922-02-06","D","402022","15904","","",false,"1",63,5,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nd","ND","1","","S220",7.94,87.72,12.28,"Birch","F",,,,,,,,,,
"B001126","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001126.json","Conrad","Burns","1935-01-25","R","300015","15702","","",false,"3",550,1,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:mt","MT","1","","S211",0.18,90.94,9.06,,"M",,,,,,"1994",,,,
"B001210","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001210.json","Robert","Byrd","1917-11-20","D","300016","1366","","",false,"33",550,0,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:wv","WV","1","","S017",0,81.23,18.77,"C.","M",,,,"/m/06bss",,,,,,
"C000269","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000269.json","John","Chafee","1922-10-22","R","402412","14500","","",false,"15",550,11,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ri","RI","1","","S116",2,71,29,"H.","M",,,,,,,,,,
"C000542","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000542.json","Daniel","Coats","1943-05-16","R","402675","14806","","http://www.coats.senate.gov",false,"3",550,4,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:in","IN","3","","S212",0.73,87.73,12.27,,"M","SenDanCoats","SenatorCoats","6080","/m/0jl26",,,"180671148633644",,,
"C000567","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C000567.json","Thad","Cochran","1937-12-07","R","300023","14009","","https://www.cochran.senate.gov",false,"13",550,8,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ms","MS","2","","S136",1.45,92.13,7.87,,"M","SenThadCochran","sencochran","1200","/m/01fmcd",,,,"53312","N00003328",
"C000598","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C000598.json","William","Cohen","1940-08-28","R","402727","14010","","",false,"13",550,4,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:me","ME","2","","S137",0.73,73.61,26.39,"Sebastian","M",,,,,,,,,,
"C000705","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000705.json","Kent","Conrad","1948-03-12","D","300026","15501","","",false,"5",550,7,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nd","ND","3","","S201",1.27,77.21,22.79,,"M",,"SenatorConrad","2517","/m/021fx2",,,,,,
"C000858","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C000858.json","Larry","Craig","1945-07-20","R","300029","14809","","",false,"1",550,6,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:id","ID","2","","S215",1.09,85.47,14.53,"E.","M",,,,,,,,,,
"C000877","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000877.json","Alan","Cranston","1914-06-19","D","402990","12103","","",false,"23",550,73,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ca","CA","3","","S023",13.27,88.03,11.97,,,,,,,,,,,,
"D000018","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000018.json","Alfonse","D'Amato","1937-08-01","R","403142","14900","","",false,"11",550,13,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ny","NY","3","","S147",2.36,79.4,20.6,"M.","M",,,,,,,,,,
"D000030","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/D000030.json","John","Danforth","1936-09-05","R","403171","14501","","",false,"15",550,24,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:mo","MO","1","","S108",4.36,83.08,16.92,"Claggett","M",,,"103",,,,,,,
"D000064","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000064.json","Thomas","Daschle","1947-12-09","D","300031","14617","","",false,"5",550,2,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:sd","SD","3","","S185",0.36,88.99,11.01,"A.","M",,,,,,,,,,
"D000185","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/D000185.json","Dennis","DeConcini","1937-05-08","D","403346","14502","","",false,"15",550,18,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:az","AZ","1","","S102",3.27,79.62,20.38,"Webster","M",,,,,,,,,,
"D000366","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000366.json","Alan","Dixon","1927-07-07","D","403483","14902","","",false,"11",550,48,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:il","IL","3","","S149",8.73,80.08,19.92,"John",,,,,,,,,,,
"D000388","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000388.json","Christopher","Dodd","1944-05-27","D","300034","14213","","",false,"11",550,2,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ct","CT","3","","S150",0.36,87.31,12.69,"J.","M","SenChrisDodd","SenChrisDodd",,"/m/01xcly",,,,,,
"D000401","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000401.json","Robert","Dole","1923-07-22","R","403515","10513","","",false,"23",550,1,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ks","KS","3","","S026",0.18,90.94,9.06,"Joseph","M",,,,,,,,,,
"D000407","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/D000407.json","Pete","Domenici","1932-05-07","R","300036","14103","","",false,"19",550,9,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nm","NM","2","","S027",1.64,91.56,8.44,"V.","M",,,,,,,,,,
"D000566","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/D000566.json","David","Durenberger","1934-08-19","R","403669","14703","","",false,"13",550,16,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:mn","MN","1","","S133",2.91,73.62,26.38,"Ferdinand","M",,,,,,,,,,
"E000284","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/E000284.json","J. James","Exon","1921-08-09","D","403962","14704","","",false,"13",550,5,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ne","NE","2","","S129",0.91,81.09,18.91,,"M",,,,,,,,,,
"F000062","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/F000062.json","Dianne","Feinstein","1933-06-22","D","300043","49300","","https://www.feinstein.senate.gov",false,"1",0,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ca","CA","1","","S221",0,0,0,,"F","SenFeinstein","SenatorFeinstein","13061","/m/01gqws",,"1994","senatorfeinstein","53273","N00007364","https://www.feinstein.senate.gov/public/?a=rss.feed"
"F000268","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/F000268.json","Wendell","Ford","1924-09-08","D","404219","14302","","",false,"18",550,3,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ky","KY","3","","S033",0.55,80.75,19.25,"H.","M",,,,,,,,,,
"F000329","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/F000329.json","Wyche","Fowler","1940-10-06","D","404277","14467","","",false,"5",550,14,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ga","GA","3","","S183",2.55,83.97,16.03,,,,,,,,,,,,
"G000072","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000072.json","Edwin","Garn","1932-10-12","R","404444","14303","","",false,"17",550,44,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ut","UT","3","","S034",8,88.62,11.38,"Jacob","M",,,,,,,,,,
"G000236","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000236.json","John","Glenn","1921-07-18","D","404598","14304","","",false,"17",550,12,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:oh","OH","3","","S035",2.18,86.88,13.12,"H.","M",,,,,"Jr.",,,,,
"G000321","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/G000321.json","Albert","Gore","1948-03-31","D","404679","14423","","",false,"7",550,119,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:tn","TN","2","","S170",21.64,89.39,10.61,"Arnold","M",,,,,,,,,,
"G000333","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/G000333.json","Slade","Gorton","1928-01-08","R","400559","14905","","",false,"9",550,5,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:wa","WA","1","","S152",0.91,86.78,13.22,,"M",,,,,,,,,,
"G000352","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000352.json","Bob","Graham","1936-11-09","D","300046","15502","","",false,"5",550,6,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:fl","FL","3","","S199",1.09,82.52,17.48,,"M",,,,,,,,,,
"G000365","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/G000365.json","Phil","Gramm","1942-07-08","R","300159","14628","","",false,"7",550,25,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:tx","TX","2","","S171",4.55,88.82,11.18,,"M",,,,,,,,,,
"G000386","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000386.json","Charles","Grassley","1933-09-17","R","300048","14226","","https://www.grassley.senate.gov",false,"11",550,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ia","IA","3","","S153",0,86.16,13.84,"E.","M","ChuckGrassley","senchuckgrassley","1167","/m/020ymy",,,"grassley","53293","N00001758","https://www.grassley.senate.gov/?q=rss.xml"
"H000206","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000206.json","Tom","Harkin","1939-11-19","D","300051","14230","","http://www.harkin.senate.gov",false,"7",550,139,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ia","IA","2","","S172",25.27,90.55,9.45,,"M","SenatorHarkin","SenatorTomHarkin","2005","/m/020ynq",,,"tomharkin",,,
"H000338","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/H000338.json","Orrin","Hatch","1934-03-22","R","300052","14503","","https://www.hatch.senate.gov",false,"15",550,34,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ut","UT","1","","S118",6.18,92.14,7.86,"G.","M","SenOrrinHatch","SenatorOrrinHatch","189","/m/016mj4",,,"senatororrinhatch","53352","N00009869","https://www.hatch.senate.gov/public/index.cfm/rss/feed"
"H000343","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000343.json","Mark","Hatfield","1922-07-12","R","405212","11203","","",false,"25",550,7,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:or","OR","2","","S044",1.27,66.17,33.83,"Odom","M",,,,,,,,,,
"H000445","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000445.json","Howell","Heflin","1921-06-19","D","405310","14705","","",false,"13",550,2,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:al","AL","2","","S130",0.36,68.53,31.47,"Thomas","M",,,,,,,,,,
"H000456","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/H000456.json","Henry","Heinz","1938-10-23","R","405321","13050","","",false,"15",41,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:pa","PA","1","","S115",0,82.5,17.5,"John","M",,,,,,,,,,
"H000463","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000463.json","Jesse","Helms","1921-10-18","R","300154","14105","","",false,"19",550,137,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nc","NC","2","","S046",24.91,80.15,19.85,,"M",,,,,,,,,,
"H000725","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/H000725.json","Ernest","Hollings","1922-01-01","D","300053","11204","","",false,"25",550,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:sc","SC","3","","S047",0,72.12,27.88,"F.","M",,,,,,,,,,
"I000025","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/I000025.json","Daniel","Inouye","1924-09-07","D","300056","4812","","",false,"29",550,34,2,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:hi","HI","3","","S051",6.18,88.51,11.49,"K.","M","daniel_inouye",,"2568","/m/021sv1",,,,,,
"J000072","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/J000072.json","James","Jeffords","1934-05-11","R","300057","14240","","",false,"3",550,36,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:vt","VT","1","","S204",6.55,61.14,38.86,"M.","M",,,,,,,,,,
"J000189","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/J000189.json","John","Johnston","1932-06-10","D","406084","14107","","",false,"19",550,7,2,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:la","LA","2","","S054",1.27,78.95,21.05,"Bennett","M",,,,,,,,,,
"K000017","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/K000017.json","Nancy","Kassebaum","1932-07-29","R","406188","14708","","",false,"13",550,12,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ks","KS","2","","S140",2.18,82.11,17.89,"Landon","F",,,,,,,,,,
"K000019","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/K000019.json","Robert","Kasten","1942-06-19","R","406190","14242","","",false,"11",550,24,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:wi","WI","3","","S155",4.36,81.92,18.08,"Walter","M",,,,,,,,,,
"K000105","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000105.json","Edward","Kennedy","1932-02-22","D","300059","10808","","",false,"29",550,7,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ma","MA","1","","S055",1.27,91.53,8.47,"M.","M",,,,,,,,,,
"K000146","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000146.json","J. Robert","Kerrey","1943-08-27","D","400561","15703","","",false,"3",550,105,2,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ne","NE","1","","S208",19.09,88.3,11.7,,"M",,,,,,,,,,
"K000148","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/K000148.json","John","Kerry","1943-12-11","D","300060","15300","","",false,"7",550,2,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ma","MA","2","","S173",0.36,90.5,9.5,,"M",,"senatorkerry","1485","/m/0d3qd0",,,,,,
"K000305","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000305.json","Herb","Kohl","1935-02-07","D","300061","15704","","",false,"3",550,2,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:wi","WI","1","","S209",0.36,83.24,16.76,,"M",,"SenatorKohl","4030","/m/04fy4q",,,,,,
"L000123","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/L000123.json","Frank","Lautenberg","1924-01-23","D","300064","14914","","http://www.lautenberg.senate.gov/",false,"9",550,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nj","NJ","1","","S166",0,88.29,11.71,"R.","M","franklautenberg",,"2515","/m/01wsvs",,,"franklautenberg",,,
"L000174","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/L000174.json","Patrick","Leahy","1940-03-31","D","300065","14307","","https://www.leahy.senate.gov",false,"17",550,16,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:vt","VT","3","","S057",2.91,89.85,10.15,"J.","M","SenatorLeahy","SenatorPatrickLeahy","1552","/m/0202kf",,,"SenatorPatrickLeahy","53353","N00009918",
"L000261","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/L000261.json","Carl","Levin","1934-06-28","D","300066","14709","","http://www.levin.senate.gov",false,"13",550,4,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:mi","MI","2","","S131",0.73,90.07,9.93,,"M","SenCarlLevin","SenCarlLevin","2592","/m/01xh6j",,,"carllevin",,,
"L000304","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/L000304.json","Joseph","Lieberman","1942-02-24","D","300067","15705","","",false,"3",550,6,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ct","CT","1","","S210",1.09,86.09,13.91,"I.","M","JoeLieberman","SenatorJoeLieberman","4363","/m/0jw5r",,,,,,
"L000447","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/L000447.json","Trent","Lott","1941-10-09","R","300069","14031","","",false,"3",550,9,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ms","MS","1","","S203",1.64,88.95,11.05,,"M",,,"1886",,,,,,,
"L000504","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/L000504.json","Richard","Lugar","1932-04-04","R","300070","14506","","",false,"15",550,14,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:in","IN","1","","S105",2.55,88.47,11.53,"G.","M","senatorlugar","senatorlugar","255","/m/01d_bx",,,,,,
"M000019","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M000019.json","Connie","Mack","1940-10-29","R","400562","15037","","",false,"3",550,8,6,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:fl","FL","1","","S205",1.45,85.96,14.04,,"M",,,,,,,,,,
"M000303","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/M000303.json","John","McCain","1936-08-29","R","300071","15039","","https://www.mccain.senate.gov",false,"5",550,11,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:az","AZ","3","","S197",2,87.05,12.95,,"M","SenJohnMcCain","SenatorJohnMcCain","7476","/m/0bymv",,,"johnmccain","53270","N00006424","https://www.mccain.senate.gov/public/?a=rss.feed"
"M000355","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/M000355.json","Mitch","McConnell","1942-02-20","R","300072","14921","","https://www.mcconnell.senate.gov",false,"7",550,3,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ky","KY","2","","S174",0.55,92.58,7.42,,"M","McConnellPress",,"2351","/m/01z6ls",,,"mitchmcconnell","53298","N00003389","https://www.mcconnell.senate.gov/public/?a=RSS.Feed"
"M000678","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M000678.json","Howard","Metzenbaum","1917-06-04","D","407663","14073","","",false,"16",550,11,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:oh","OH","1","","S114",2,86.34,13.66,"Morton","M",,,,,,,,,,
"M000702","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/M000702.json","Barbara","Mikulski","1936-07-20","D","300073","14440","","https://www.mikulski.senate.gov",false,"5",550,10,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:md","MD","3","","S182",1.82,91.48,8.52,"A.","F","SenatorBarb","senatormikulski","1396","/m/0206nm",,,"SenatorMikulski",,,
"M000811","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M000811.json","George","Mitchell","1933-08-20","D","407786","14713","","",false,"11",550,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:me","ME","1","","S144",0,91.82,8.18,"John","M",,,,,,,,,,
"M001054","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M001054.json","Daniel","Moynihan","1927-03-16","D","400563","14508","","",false,"15",550,1,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ny","NY","1","","S113",0.18,89.39,10.61,"Patrick","M",,,,,,,,,,
"M001085","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/M001085.json","Frank","Murkowski","1933-03-28","R","300150","14908","","",false,"11",550,23,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ak","AK","3","","S157",4.18,90.4,9.6,"H.","M",,,,,,,,,,
"N000102","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/N000102.json","Don","Nickles","1948-12-06","R","300079","14909","","",false,"11",550,18,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ok","OK","3","","S158",3.27,87.98,12.02,,"M",,,,,,,,,,
"N000171","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/N000171.json","Samuel","Nunn","1938-09-08","D","408252","14108","","",false,"19",550,11,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ga","GA","2","","S074",2,79.89,20.11,"Augustus","M",,,,,,,,,,
"P000009","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/P000009.json","Robert","Packwood","1932-09-11","R","408420","12107","","",false,"23",550,14,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:or","OR","3","","S075",2.55,72.59,27.41,"William","M",,,,,,,,,,
"P000193","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/P000193.json","Claiborne","Pell","1918-11-22","D","408597","10818","","",false,"31",550,14,5,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ri","RI","2","","S078",2.55,87.98,12.02,"de Borda","M",,,,,,,,,,
"P000513","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/P000513.json","Larry","Pressler","1942-03-29","R","408898","14268","","",false,"13",550,1,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:sd","SD","2","","S141",0.18,87.99,12.01,"Lee",,,,,,,,,,,
"P000556","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/P000556.json","David","Pryor","1934-08-29","D","408939","10791","","",false,"13",550,172,1,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:ar","AR","2","","S125",31.27,84.05,15.95,"Hampton","M",,,,,,,,,,
"R000146","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/R000146.json","Harry","Reid","1939-12-02","D","300082","15054","","http://www.reid.senate.gov",false,"5",550,8,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:nv","NV","3","","S198",1.45,83.58,16.42,,"M","SenatorReid","SenatorReid","1683","/m/0204x1",,,"SenatorReid",,,
"R000249","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/R000249.json","Donald","Riegle","1938-02-04","D","409225","11043","","",false,"15",550,17,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:mi","MI","1","","S107",3.09,90.79,9.21,"Wayne","M",,,,,,,,,,
"R000295","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/R000295.json","Charles","Robb","1939-06-26","D","400564","15706","","",false,"3",550,0,0,"2019-10-07 09:33:31 -0400","ocd-division/country:us/state:va","VA","1","","S207",0,82.34,17.66,"S.","M",,,,,,,,,,
