"id","title","short_title","api_uri","first_name","middle_name","last_name","date_of_birth","gender","party","twitter_account","youtube_account","govtrack_id","cspan_id","icpsr_id","google_entity_id","fec_candidate_id","url","in_office","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","facebook_account","votesmart_id","crp_id","rss_url","suffix"
"B000611","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000611.json","Christopher","S.","Bond","1939-03-06","M","R",,"CSBondMO","300010","2360","15500","/m/01_6h2","","",false,"23","2010",696,61,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:mo","MO","3","","S200",8.76,82.14,17.86,,,,,
"B000711","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000711.json","Barbara",,"Boxer","1940-11-11","F","D","SenatorBoxer","SenatorBoxer","300011","2470","15011","/m/01c1n5","","https://www.boxer.senate.gov",false,"17","2010",696,10,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ca","CA","3","","S223",1.44,96.92,3.08,"senatorboxer",,,"https://www.boxer.senate.gov/rss/?p=release",
"B001268","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001268.json","Scott",,"Brown","1959-09-12","M","R","USSenScottBrown",,"412384","9266532",,"/m/0bmg6w","","",false,"1","2012",279,0,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ma","MA","1","","S335",0,81.52,18.48,,,,,
"B000944","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B000944.json","Sherrod",,"Brown","1952-11-09","M","D","SenSherrodBrown","SherrodBrownOhio","400050","5051","29389","/m/034s80","","https://www.brown.senate.gov",false,"3","2012",696,8,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:oh","OH","1","","S307",1.15,97.51,2.49,"SenatorSherrodBrown","27018","N00003535",,
"B000953","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000953.json","Sam",,"Brownback","1956-09-12","M","R","SenSamBrownback","SenatorSamBrownback","300013",,"29523","/m/0202ny","","",false,"15","2010",696,45,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ks","KS","3","","S249",6.47,92.98,7.02,,,,,
"B001066","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001066.json","Jim",,"Bunning","1931-10-23","M","R",,"SenJimBunning","300014","1457","15405","/m/0lbm2","","",false,"11","2010",696,49,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ky","KY","3","","S265",7.04,91.22,8.78,,,,,
"B001135","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001135.json","Richard","M.","Burr","1955-11-30","M","R","SenatorBurr","SenatorRichardBurr","400054","31054","29548","/m/03g_s9","","https://www.burr.senate.gov",false,"5","2010",696,18,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:nc","NC","3","","S300",2.59,93.88,6.12,"SenatorRichardBurr","21787","N00002221",,
"B001266","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001266.json","Roland","W.","Burris","1937-08-03","M","D",,,"412328","2462",,"/m/09sztf","","",false,"1","2010",644,6,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:il","IL","3","","S328",0.93,98.43,1.57,,,,,
"B001210","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001210.json","Robert","C.","Byrd","1917-11-20","M","D",,,"300016",,"1366","/m/06bss","","",false,"51","2012",597,280,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:wv","WV","1","","S017",46.9,90.48,9.52,,,,,
"C000127","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000127.json","Maria",,"Cantwell","1958-10-13","F","D","SenatorCantwell","SenatorCantwell","300018","26137","39310","/m/01x68t","","https://www.cantwell.senate.gov",false,"9","2012",696,4,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:wa","WA","1","","S275",0.57,94.04,5.96,"senatorcantwell","27122","N00007836",,
"C000141","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000141.json","Benjamin","L.","Cardin","1943-10-05","M","D","SenatorCardin","senatorcardin","400064","4004","15408","/m/025k3k","","https://www.cardin.senate.gov",false,"3","2012",696,0,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:md","MD","1","","S308",0,97.98,2.02,"senatorbencardin","26888","N00001955",,
"C000174","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000174.json","Thomas","R.","Carper","1947-01-23","M","D","SenatorCarper","senatorcarper","300019","663","15015","/m/01xw7t","","https://www.carper.senate.gov",false,"9","2012",696,6,0,"2023-01-03 08:06:28 -0500","ocd-division/country:us/state:de","DE","1","","S277",0.86,94.46,5.54,"tomcarper","22421","N00012508","https://www.carper.senate.gov/public/?a=RSS.Feed",
"C001070","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C001070.json","Bob",,"Casey","1960-04-13","M","D","SenBobCasey","SenatorBobCasey","412246","47036","40703","/m/047ymw","","https://www.casey.senate.gov",false,"3","2012",696,1,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:pa","PA","1","","S309",0.14,96.82,3.18,"SenatorBobCasey","2541","N00027503",,
"C000286","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C000286.json","Saxby",,"Chambliss","1943-11-10","M","R","SaxbyChambliss","SenatorChambliss","300021","36571","29512","/m/01xcms","","http://www.chambliss.senate.gov",false,"7","2014",696,32,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ga","GA","2","","S290",4.6,95.43,4.57,"SaxbyChambliss",,,,
"C001041","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C001041.json","Hillary","Rodham","Clinton","1947-10-26","F","D",,,"300022",,"40105",,"","",false,"9",,6,1,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ny","NY","1","","S278",16.67,100,0,,,,,
"C000560","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000560.json","Tom",,"Coburn","1948-03-14","M","R","TomCoburn","SenatorCoburn","400576","36751","29555","/m/03wnjr","","http://www.coburn.senate.gov",false,"5","2010",696,17,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ok","OK","3","","S301",2.44,91.18,8.82,,,,,
"C000567","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C000567.json","Thad",,"Cochran","1937-12-07","M","R","SenThadCochran","sencochran","300023","1200","14009","/m/01fmcd","","https://www.cochran.senate.gov",false,"31","2014",696,7,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ms","MS","2","","S136",1.01,85.42,14.58,,"53312","N00003328",,
"C001035","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001035.json","Susan",,"Collins","1952-12-07","F","R","SenatorCollins","SenatorSusanCollins","300025","45738","49703","/m/020y8m","","https://www.collins.senate.gov",false,"13","2014",696,0,0,"2019-11-18 02:30:22 -0500","ocd-division/country:us/state:me","ME","2","","S252",0,67.78,32.22,"susancollins","379","N00000491","https://www.collins.senate.gov/?q=rss.xml",
"C000705","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000705.json","Kent",,"Conrad","1948-03-12","M","D",,"SenatorConrad","300026","2517","15501","/m/021fx2","","",false,"23","2012",696,15,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:nd","ND","1","","S201",2.16,92.76,7.24,,,,,
"C001088","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001088.json","Christopher","A.","Coons","1963-09-09","M","D","ChrisCoons","senatorchriscoons","412390","9269028","40916","/m/082d3d","","https://www.coons.senate.gov",false,"1","2014",51,1,0,"2019-11-18 02:30:22 -0500","ocd-division/country:us/state:de","DE","2","","S337",1.96,100,0,"senatorchriscoons","122834","N00031820",,
"C001071","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C001071.json","Bob",,"Corker","1952-08-24","M","R","SenBobCorker","senatorcorker","412248","1021114","40705","/m/0d9fz3","","https://www.corker.senate.gov",false,"3","2012",696,5,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:tn","TN","1","","S310",0.72,88.99,11.01,"bobcorker","65905","N00027441",,
"C001056","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001056.json","John",,"Cornyn","1952-02-02","M","R","JohnCornyn","senjohncornyn","300027","93131","40305","/m/01xcqs","","https://www.cornyn.senate.gov",false,"7","2014",696,15,0,"2019-11-18 02:30:20 -0500","ocd-division/country:us/state:tx","TX","2","","S287",2.16,94.66,5.34,"sen.johncornyn","15375","N00024852",,
"C000880","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000880.json","Michael","D.","Crapo","1951-05-20","M","R","MikeCrapo","senatorcrapo","300030","26440","29345","/m/021pgp","","https://www.crapo.senate.gov",false,"11","2010",696,10,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:id","ID","3","","S266",1.44,94.08,5.92,"mikecrapo","26830","N00006267",,
"D000595","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000595.json","Jim",,"DeMint","1951-09-02","M","R","JimDeMint","SenJimDeMint","400105","57895","29936","/m/02v30g","","",false,"5","2010",696,22,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:sc","SC","3","","S302",3.16,90.98,9.02,,,,,
"D000388","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000388.json","Christopher","J.","Dodd","1944-05-27","M","D","SenChrisDodd","SenChrisDodd","300034",,"14213","/m/01xcly","","",false,"29","2010",696,20,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ct","CT","3","","S150",2.87,97.62,2.38,,,,,
"D000432","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000432.json","Byron","L.","Dorgan","1942-05-14","M","D",,"senatordorgan","300037","2318","14812","/m/021fyn","","",false,"17","2010",696,11,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:nd","ND","3","","S222",1.58,92.66,7.34,,,,,
"D000563","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/D000563.json","Richard","J.","Durbin","1944-11-21","M","D","SenatorDurbin","SenatorDurbin","300038","6741","15021","/m/01xcd1","","https://www.durbin.senate.gov",false,"13","2014",696,5,0,"2019-11-18 02:30:23 -0500","ocd-division/country:us/state:il","IL","2","","S253",0.72,97.96,2.04,"SenatorDurbin","26847","N00004981",,
"E000194","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/E000194.json","John",,"Ensign","1958-03-25","M","R","SenEnsign","SenatorEnsign","300040","37076","29537","/m/0204wp","","",false,"9","2012",696,17,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:nv","NV","1","","S281",2.44,92.24,7.76,,,,,
"E000285","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/E000285.json","Michael","B.","Enzi","1944-02-01","M","R","SenatorEnzi","senatorenzi","300041","45824","49706","/m/021ph1","","https://www.enzi.senate.gov",false,"13","2014",696,13,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:wy","WY","2","","S254",1.87,94.5,5.5,"mikeenzi","558","N00006249","https://www.enzi.senate.gov/public/?a=rss.feed",
"F000061","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/F000061.json","Russ",,"Feingold","1953-03-02","M","D","russfeingold","SenRussFeingold","300042",,"49309","/m/01nvvl","","",false,"17","2010",696,2,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:wi","WI","3","","S230",0.29,80,20,,,,,
"F000062","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/F000062.json","Dianne",,"Feinstein","1933-06-22","F","D","SenFeinstein","SenatorFeinstein","300043","13061","49300","/m/01gqws","","https://www.feinstein.senate.gov",false,"17","2012",696,2,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ca","CA","1","","S221",0.29,96.96,3.04,"senatorfeinstein","53273","N00007364","https://www.feinstein.senate.gov/public/?a=rss.feed",
"F000457","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/F000457.json","Al",,"Franken","1951-05-21","M","D","SenFranken","SenatorFranken","412378","23334","40904","/m/01lct6","","https://www.franken.senate.gov/",false,"1","2014",479,0,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:mn","MN","2","","S332",0,97.07,2.94,"senatoralfranken","108924","N00029016","https://www.franken.senate.gov/rss/",
"G000555","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/G000555.json","Kirsten","E.","Gillibrand","1966-12-09","F","D","GillibrandNY","KirstenEGillibrand","412223","1022862","20735","/m/0gnfc4","","https://www.gillibrand.senate.gov",false,"1","2012",681,8,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ny","NY","1","","S331",1.17,97.91,2.09,"SenKirstenGillibrand","65147","N00027658",,
"G000561","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/G000561.json","Carte","P.","Goodwin","1974-02-27","M","D",,,"412389","9266706",,,"","",false,"1",,40,0,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:wv","WV","1","","S336",0,100,0,,,,,
"G000359","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/G000359.json","Lindsey",,"Graham","1955-07-09","M","R","GrahamBlog","USSenLindseyGraham","300047","36782","29566","/m/01_pdg","","https://www.lgraham.senate.gov/public",false,"7","2014",696,18,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:sc","SC","2","","S293",2.59,93.57,6.43,"USSenatorLindseyGraham","21992","N00009975","https://www.lgraham.senate.gov/public/?a=rss.feed",
"G000386","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000386.json","Charles","E.","Grassley","1933-09-17","M","R","ChuckGrassley","senchuckgrassley","300048","1167","14226","/m/020ymy","","https://www.grassley.senate.gov",false,"29","2010",696,0,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ia","IA","3","","S153",0,91.55,8.45,"grassley","53293","N00001758","https://www.grassley.senate.gov/?q=rss.xml",
"G000445","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000445.json","Judd",,"Gregg","1947-02-14","M","R",,,"300049",,"14826","/m/0206mj","","",false,"17","2010",696,80,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:nh","NH","3","","S224",11.49,83.72,16.28,,,,,
"H001049","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H001049.json","Kay",,"Hagan","1953-05-26","F","D","SenatorHagan","SenatorHagan","412324","1028015","40907","/m/02b56f","","http://www.hagan.senate.gov",false,"1","2014",696,9,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:nc","NC","2","","S320",1.29,91.36,8.64,"SenatorHagan",,,,
"H000206","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000206.json","Tom",,"Harkin","1939-11-19","M","D","SenatorHarkin","SenatorTomHarkin","300051","2005","14230","/m/020ynq","","http://www.harkin.senate.gov",false,"25","2014",696,10,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ia","IA","2","","S172",1.44,96.04,3.96,"tomharkin",,,,
"H000338","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/H000338.json","Orrin","G.","Hatch","1934-03-22","M","R","SenOrrinHatch","SenatorOrrinHatch","300052","189","14503","/m/016mj4","","https://www.hatch.senate.gov",false,"33","2012",696,18,1,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ut","UT","1","","S118",2.59,90.57,9.43,"senatororrinhatch","53352","N00009869","https://www.hatch.senate.gov/public/index.cfm/rss/feed",
"H001016","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/H001016.json","Kay","Bailey","Hutchison","1943-07-22","F","R","kaybaileyhutch","SenatorHutchison","300054","24713","49306","/m/02050j","","",false,"17","2012",696,67,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:tx","TX","1","","S235",9.63,92.94,7.06,,,,,
"I000024","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/I000024.json","James","M.","Inhofe","1934-11-17","M","R","InhofePress","jiminhofepressoffice","300055","5619","15424","/m/021kpl","","https://www.inhofe.senate.gov",false,"17","2014",696,25,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ok","OK","2","","S236",3.59,93.06,6.94,"jiminhofe","27027","N00005582",,
"I000025","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/I000025.json","Daniel","K.","Inouye","1924-09-07","M","D","daniel_inouye",,"300056","2568","4812","/m/021sv1","","",false,"41","2010",696,8,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:hi","HI","3","","S051",1.15,97.81,2.19,,,,,
"I000055","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/I000055.json","Johnny",,"Isakson","1944-12-28","M","R","SenatorIsakson","SenatorIsakson","400194","59135","29909","/m/02556q","","https://www.isakson.senate.gov",false,"5","2010",696,72,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ga","GA","3","","S305",10.34,94.32,5.68,,"1721","N00002593","https://www.isakson.senate.gov/public/?a=RSS.Feed",
"J000291","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/J000291.json","Mike",,"Johanns","1950-06-18","M","R","Mike_Johanns","SenatorMikeJohanns","412320","56552","40905","/m/02722_","","http://www.johanns.senate.gov",false,"1","2014",696,30,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ne","NE","2","","S321",4.31,92.86,7.14,"MikeJohanns",,,,
"J000177","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/J000177.json","Tim",,"Johnson","1946-12-28","M","D","SenJohnsonSD","senatorjohnson","300058","2545","15425","/m/01xwcp","","http://www.johnson.senate.gov",false,"13","2014",696,16,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:sd","SD","2","","S257",2.3,96.6,3.4,"Senator-Tim-Johnson",,,,
"K000373","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/K000373.json","Edward","E.","Kaufman","1939-03-15","M","D",,"SenatorTed","412329","1030984",,,"","",false,"1","2014",640,6,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:de","DE","2","","S329",0.94,97.14,2.86,,,,,
"K000105","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000105.json","Edward","M.","Kennedy","1932-02-22","M","D",,,"300059",,"10808",,"","",false,"47",,270,261,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ma","MA","1","","S055",96.67,100,0,,,,,
"K000148","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/K000148.json","John",,"Kerry","1943-12-11","M","D",,"senatorkerry","300060","1485","15300","/m/0d3qd0","","",false,"25","2014",696,16,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ma","MA","2","","S173",2.3,97.78,2.22,,,,,
"K000360","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/K000360.json","Mark","Steven","Kirk","1959-09-15","M","R","SenatorKirk","SenatorKirk","400222","85221","20115","/m/0256rr","","https://www.kirk.senate.gov",false,"1","2016",48,8,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:il","IL","3","","S339",16.67,80,20,"SenatorKirk",,,,
"K000374","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000374.json","Paul","G.","Kirk","1938-01-18","M","D",,,"412381",,,"/m/0896g7","","",false,"1","2012",119,0,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ma","MA","1","","S334",0,99.16,0.84,,,,,"Jr."
"K000367","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000367.json","Amy",,"Klobuchar","1960-05-25","F","D","SenAmyKlobuchar","senatorklobuchar","412242","83701","40700","/m/05fbpt","","https://www.klobuchar.senate.gov",false,"3","2012",696,6,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:mn","MN","1","","S311",0.86,91.69,8.31,,"65092","N00027500",,
"K000305","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000305.json","Herb",,"Kohl","1935-02-07","M","D",,"SenatorKohl","300061","4030","15704","/m/04fy4q","","",false,"21","2012",696,3,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:wi","WI","1","","S209",0.43,95.21,4.79,,,,,
"K000352","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000352.json","Jon",,"Kyl","1942-04-25","M","R","senjonkyl","SenJonKyl","300062",,"15428","/m/01y0mp","","",false,"15","2012",696,11,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:az","AZ","1","","S243",1.58,92.17,7.83,,,,,
"L000550","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/L000550.json","Mary","L.","Landrieu","1955-11-23","F","D","SenLandrieu","senatorlandrieu","300063","22357","49702","/m/019tyn","","http://www.landrieu.senate.gov",false,"13","2014",696,31,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:la","LA","2","","S258",4.45,93.04,6.96,"senatormarylandrieu",,,,
"L000123","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/L000123.json","Frank","R.","Lautenberg","1924-01-23","M","D","franklautenberg",,"300064","2515","14914","/m/01wsvs","","http://www.lautenberg.senate.gov/",false,"25","2014",696,18,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:nj","NJ","2","","S166",2.59,98.22,1.78,"franklautenberg",,,,
"L000174","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/L000174.json","Patrick","J.","Leahy","1940-03-31","M","D","SenatorLeahy","SenatorPatrickLeahy","300065","1552","14307","/m/0202kf","","https://www.leahy.senate.gov",false,"35","2010",696,12,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:vt","VT","3","","S057",1.72,97.36,2.64,"SenatorPatrickLeahy","53353","N00009918",,
"L000572","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/L000572.json","George","S.","LeMieux","1969-05-21","M","R","George_LeMieux",,"412380","1931",,,"","",false,"1","2010",423,8,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:fl","FL","3","","S333",1.89,92.2,7.8,,,,,
"L000261","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/L000261.json","Carl",,"Levin","1934-06-28","M","D","SenCarlLevin","SenCarlLevin","300066","2592","14709","/m/01xh6j","","http://www.levin.senate.gov",false,"31","2014",696,1,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:mi","MI","2","","S131",0.14,97.25,2.75,"carllevin",,,,
"L000304","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/L000304.json","Joseph","I.","Lieberman","1942-02-24","M","ID","JoeLieberman","SenatorJoeLieberman","300067","4363","15705","/m/0jw5r","","",false,"21","2012",696,20,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ct","CT","1","","S210",2.87,90.48,9.52,,,,,
"L000035","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/L000035.json","Blanche",,"Lincoln","1960-09-30","F","D",,"SenatorLincoln","300068","26202","29305","/m/01xb1j","","",false,"11","2010",696,31,0,"2019-10-07 08:26:42 -0400","ocd-division/country:us/state:ar","AR","3","","S269",4.45,83.66,16.34,,,,,
