"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","leadership_role","twitter_account","facebook_account","youtube_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","contact_form","in_office","dw_nominate","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","rss_url","fax","middle_name","suffix"
"B001135","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001135.json","Richard","Burr","1955-11-30","M","R","","SenatorBurr","SenatorRichardBurr","SenatorRichardBurr","400054","31054","21787","29548","N00002221","/m/03g_s9","S4NC00089","https://www.burr.senate.gov","https://www.burr.senate.gov/contact/email",false,0.435,"17","2022",890,96,2,"2022-12-16 11:45:52 -0500","ocd-division/country:us/state:nc","217 Russell Senate Office Building","202-224-3154","NC","3","senior","S300",10.79,81.03,18.97,,"202-228-2981","M.",
"C000127","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000127.json","Maria","Cantwell","1958-10-13","F","D",,"SenatorCantwell","senatorcantwell","SenatorCantwell","300018","26137","27122","39310","N00007836","/m/01x68t","S8WA00194","https://www.cantwell.senate.gov","http://www.cantwell.senate.gov/public/index.cfm/email-maria",false,-0.305,"21","2024",890,10,0,"2022-12-09 06:53:38 -0500","ocd-division/country:us/state:wa","511 Hart Senate Office Building","202-224-3441","WA","1","junior","S275",1.12,99.89,0.11,,,,
"C001047","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001047.json","Shelley","Capito","1953-11-26","F","R",,"SenCapito","senshelley",,"400061","83737","11701","20146","N00009771","/m/024pwq","H0WV02138","https://www.capito.senate.gov","https://www.capito.senate.gov/contact/contact-shelley",false,0.276,"7","2026",890,29,0,"2022-12-20 11:45:53 -0500","ocd-division/country:us/state:wv","172 Russell Senate Office Building","202-224-6472","WV","2","junior","S372",3.26,79.55,20.45,,,"Moore",
"C000141","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000141.json","Benjamin","Cardin","1943-10-05","M","D",,"SenatorCardin","senatorbencardin","senatorcardin","400064","4004","26888","15408","N00001955","/m/025k3k","H6MD03177","https://www.cardin.senate.gov","http://www.cardin.senate.gov/contact/",false,-0.319,"15","2024",890,8,0,"2022-12-20 11:45:53 -0500","ocd-division/country:us/state:md","509 Hart Senate Office Building","202-224-4524","MD","1","senior","S308",0.9,99.32,0.68,,,"L.",
"C000174","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000174.json","Thomas","Carper","1947-01-23","M","D",,"SenatorCarper","tomcarper","senatorcarper","300019","663","22421","15015","N00012508","/m/01xw7t","S8DE00079","https://www.carper.senate.gov","http://www.carper.senate.gov/public/index.cfm/email-senator-carper",false,-0.178,"21","2024",890,3,0,"2023-01-03 08:06:28 -0500","ocd-division/country:us/state:de","513 Hart Senate Office Building","202-224-2441","DE","1","senior","S277",0.34,98.87,1.13,"https://www.carper.senate.gov/public/?a=RSS.Feed",,"R.",
"C001070","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C001070.json","Bob","Casey","1960-04-13","M","D",,"SenBobCasey","SenatorBobCasey","SenatorBobCasey","412246","47036","2541","40703","N00027503","/m/047ymw","S6PA00217","https://www.casey.senate.gov","https://www.casey.senate.gov/contact/",false,-0.314,"15","2024",890,13,0,"2022-12-20 11:45:53 -0500","ocd-division/country:us/state:pa","393 Russell Senate Office Building","202-224-6324","PA","1","senior","S309",1.46,99.43,0.57,,,,
"C001075","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001075.json","Bill","Cassidy","1957-09-28","M","R",,,,"SenatorBillCassidy","412269","1030546","69494","20919","N00030245","/m/0286t7r","H8LA00017","https://www.cassidy.senate.gov","https://www.cassidy.senate.gov/contact",false,0.465,"7","2026",890,27,0,"2022-12-20 16:22:06 -0500","ocd-division/country:us/state:la","520 Hart Senate Office Building","202-224-5824","LA","2","senior","S373",3.03,88.07,11.93,,,,
"C001035","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001035.json","Susan","Collins","1952-12-07","F","R",,"SenatorCollins","susancollins","SenatorSusanCollins","300025","45738","379","49703","N00000491","/m/020y8m","S6ME00159","https://www.collins.senate.gov","http://www.collins.senate.gov/contact",false,0.116,"25","2026",890,0,0,"2022-12-16 11:45:52 -0500","ocd-division/country:us/state:me","413 Dirksen Senate Office Building","202-224-2523","ME","2","senior","S252",0,49.24,50.76,"https://www.collins.senate.gov/?q=rss.xml",,,
"C001088","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001088.json","Christopher","Coons","1963-09-09","M","D",,"ChrisCoons","senatorchriscoons","senatorchriscoons","412390","9269028","122834","40916","N00031820","/m/082d3d","S0DE00092","https://www.coons.senate.gov","https://www.coons.senate.gov/contact",false,-0.231,"13","2026",890,6,0,"2022-12-16 11:45:53 -0500","ocd-division/country:us/state:de","218 Russell Senate Office Building","202-224-5042","DE","2","junior","S337",0.67,99.43,0.57,,,"A.",
"C001056","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001056.json","John","Cornyn","1952-02-02","M","R","Senate Majority Whip","JohnCornyn","sen.johncornyn","senjohncornyn","300027","93131","15375","40305","N00024852","/m/01xcqs","S2TX00106","https://www.cornyn.senate.gov","https://www.cornyn.senate.gov/contact",false,0.473,"19","2026",890,59,0,"2022-12-15 06:48:45 -0500","ocd-division/country:us/state:tx","517 Hart Senate Office Building","202-224-2934","TX","2","senior","S287",6.63,85.82,14.18,,,,
"C001113","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C001113.json","Catherine","Cortez Masto","1964-03-29","F","D",,"sencortezmasto","SenatorCortezMasto",,"412681","105698","69579","41700","N00037161","/m/02rtp9t","S6NV00200","https://www.cortezmasto.senate.gov","https://www.cortezmasto.senate.gov/contact",false,-0.362,"1","2022",890,5,0,"2022-12-16 11:45:53 -0500","ocd-division/country:us/state:nv","516 Hart Senate Office Building","202-224-3542","NV","3","senior","S385",0.56,98.19,1.81,,,,
"C001095","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C001095.json","Tom","Cotton","1977-05-13","M","R",,"SenTomCotton","SenatorTomCotton","RepTomCotton","412508","63928","135651","21301","N00033363","/m/02g3ds","H2AR04083","https://www.cotton.senate.gov","https://www.cotton.senate.gov/contact/contact-tom",false,0.612,"7","2026",890,15,0,"2022-12-15 06:49:03 -0500","ocd-division/country:us/state:ar","326 Russell Senate Office Building","202-224-2353","AR","2","junior","S374",1.69,92.11,7.89,,,,
"C001096","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C001096.json","Kevin","Cramer","1961-01-21","M","R",,"SenKevinCramer","CongressmanKevinCramer","kevincramer","412555","7600","444","21350","N00004614","/m/02rhrnw","H0ND01026","https://www.cramer.senate.gov","https://www.cramer.senate.gov/contact/contact-kevin",false,0.395,"3","2024",890,103,0,"2022-12-16 11:45:53 -0500","ocd-division/country:us/state:nd","400 Russell Senate Office Building","202-224-2043","ND","1","junior","S398",11.57,91.7,8.3,,,,
"C000880","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000880.json","Michael","Crapo","1951-05-20","M","R",,"MikeCrapo","mikecrapo","senatorcrapo","300030","26440","26830","29345","N00006267","/m/021pgp","S8ID00027","https://www.crapo.senate.gov","https://www.crapo.senate.gov/contact",false,0.498,"23","2022",890,17,0,"2022-12-20 16:22:06 -0500","ocd-division/country:us/state:id","239 Dirksen Senate Office Building","202-224-6142","ID","3","senior","S266",1.91,90.77,9.23,,"202-228-1375","D.",
"C001098","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C001098.json","Ted","Cruz","1970-12-22","M","R",,"SenTedCruz","SenatorTedCruz","sentedcruz","412573","1019953","135705","41304","N00033085","/m/07j6ty","S2TX00312","https://www.cruz.senate.gov","https://www.cruz.senate.gov/?p=form&id=16",false,0.82,"9","2024",890,31,0,"2022-12-16 11:45:53 -0500","ocd-division/country:us/state:tx","127a Russell Senate Office Building","202-224-5922","TX","1","junior","S355",3.48,91.22,8.78,,,,
"D000618","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/D000618.json","Steve","Daines","1962-08-20","M","R",,"SteveDaines","SteveDainesMT","SteveDainesMT","412549","1034037","135720","21338","N00033054","/m/03qlc5t","H2MT01060","https://www.daines.senate.gov","https://www.daines.senate.gov/connect/email-steve",false,0.576,"7","2026",890,52,0,"2022-12-14 06:54:17 -0500","ocd-division/country:us/state:mt","320 Hart Senate Office Building","202-224-2651","MT","2","junior","S375",5.84,94.41,5.59,,,,
"D000622","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000622.json","Tammy","Duckworth","1968-03-12","F","D",,"SenDuckworth","SenDuckworth","repduckworth","412533","94484","57442","21325","N00027860","/m/09vqjr","H6IL06141","https://www.duckworth.senate.gov","https://www.duckworth.senate.gov/content/contact-senator",false,-0.335,"5","2022",890,12,0,"2022-12-16 11:45:53 -0500","ocd-division/country:us/state:il","524 Hart Senate Office Building","202-224-2854","IL","3","junior","S386",1.35,99.66,0.34,,,,
"D000563","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/D000563.json","Richard","Durbin","1944-11-21","M","D","Senate Minority Whip","SenatorDurbin","SenatorDurbin","SenatorDurbin","300038","6741","26847","15021","N00004981","/m/01xcd1","S6IL00151","https://www.durbin.senate.gov","https://www.durbin.senate.gov/contact/",false,-0.348,"25","2026",890,3,0,"2022-12-20 11:45:53 -0500","ocd-division/country:us/state:il","711 Hart Senate Office Building","202-224-2152","IL","2","senior","S253",0.34,99.89,0.11,,,"J.",
"E000295","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/E000295.json","Joni","Ernst","1970-07-01","F","R","Senate Republican Conference Vice Chair","SenJoniErnst","senjoniernst",,"412667","75342","128583","41502","N00035483","/m/0gg4wkg","S4IA00129","https://www.ernst.senate.gov","https://www.ernst.senate.gov/public/index.cfm/contact",false,0.551,"7","2026",890,31,0,"2022-12-20 16:22:06 -0500","ocd-division/country:us/state:ia","730 Hart Senate Office Building","202-224-3254","IA","2","junior","S376",3.48,92.5,7.5,"https://www.ernst.senate.gov/public/?a=rss.feed",,,
"F000062","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/F000062.json","Dianne","Feinstein","1933-06-22","F","D",,"SenFeinstein","senatorfeinstein","SenatorFeinstein","300043","13061","53273","49300","N00007364","/m/01gqws","S0CA00199","https://www.feinstein.senate.gov","https://www.feinstein.senate.gov/public/index.cfm/e-mail-me",false,-0.268,"29","2024",890,113,0,"2022-12-20 11:45:53 -0500","ocd-division/country:us/state:ca","331 Hart Senate Office Building","202-224-3841","CA","1","senior","S221",12.7,99.61,0.39,"https://www.feinstein.senate.gov/public/?a=rss.feed",,,
"F000463","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/F000463.json","Deb","Fischer","1951-03-01","F","R",,"SenatorFischer","senatordebfischer","senatordebfischer","412556","1034067","41963","41302","N00033443","/m/0c4cp0","S2NE00094","https://www.fischer.senate.gov","http://www.fischer.senate.gov/public/index.cfm/contact",false,0.458,"9","2024",890,31,0,"2022-12-16 11:45:53 -0500","ocd-division/country:us/state:ne","454 Russell Senate Office Building","202-224-6551","NE","1","senior","S357",3.48,94.64,5.36,,,,
"G000555","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/G000555.json","Kirsten","Gillibrand","1966-12-09","F","D",,"GillibrandNY","SenKirstenGillibrand","KirstenEGillibrand","412223","1022862","65147","20735","N00027658","/m/0gnfc4","H6NY20167","https://www.gillibrand.senate.gov","https://www.gillibrand.senate.gov/contact/email-me",false,-0.471,"13","2024",890,8,0,"2022-12-20 11:45:53 -0500","ocd-division/country:us/state:ny","478 Russell Senate Office Building","202-224-4451","NY","1","junior","S331",0.9,99.21,0.79,,,"E.",
"G000359","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/G000359.json","Lindsey","Graham","1955-07-09","M","R",,"GrahamBlog","USSenatorLindseyGraham","USSenLindseyGraham","300047","36782","21992","29566","N00009975","/m/01_pdg","S0SC00149","https://www.lgraham.senate.gov/public","https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham",false,0.376,"19","2026",890,82,0,"2022-12-13 16:24:13 -0500","ocd-division/country:us/state:sc","290 Russell Senate Office Building","202-224-5972","SC","2","senior","S293",9.21,65.57,34.43,"https://www.lgraham.senate.gov/public/?a=rss.feed",,,
"G000386","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000386.json","Charles","Grassley","1933-09-17","M","R","President Pro Tempore of the Senate","ChuckGrassley","grassley","senchuckgrassley","300048","1167","53293","14226","N00001758","/m/020ymy","S0IA00028","https://www.grassley.senate.gov","http://www.grassley.senate.gov/contact",false,0.354,"41","2022",890,0,0,"2022-12-20 11:45:56 -0500","ocd-division/country:us/state:ia","135 Hart Senate Office Building","202-224-3744","IA","3","senior","S153",0,83.43,16.57,"https://www.grassley.senate.gov/?q=rss.xml","202-224-6020","E.",
"H000601","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000601.json","Bill","Hagerty","1959-08-14","M","R",,"SenatorHagerty",,,"456798",,"128466",,"N00045369","/g/11c1xp6h9v","S0TN00169","https://www.hagerty.senate.gov","https://www.hagerty.senate.gov",false,,"1","2026",890,18,0,"2022-12-16 11:45:53 -0500","ocd-division/country:us/state:tn","B11 Russell Senate Office Building","202-224-4944","TN","2","junior","S407",2.02,92.11,7.89,"https://www.hagerty.senate.gov/press-releases/feed/",,,
"H001075","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/H001075.json","Kamala","Harris","1964-10-20","F","D","","SenKamalaHarris","SenatorKamalaHarris",,"412678","1018696","120012","41701","N00036915","/m/08sry2","S6CA00584","https://www.harris.senate.gov","https://www.harris.senate.gov/contact",false,-0.709,"3","2022",2,0,0,"2022-11-29 16:16:56 -0500","ocd-division/country:us/state:ca","112 Hart Senate Office Building","202-224-3553","CA","3","junior","S387",0,100,0,,,,
"H001076","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/H001076.json","Margaret","Hassan","1958-02-27","F","D",,"Senatorhassan","SenatorHassan",,"412680","67481","42552","41702","N00038397","/m/03c3zch","S6NH00091","https://www.hassan.senate.gov","https://www.hassan.senate.gov/content/contact-senator",false,-0.232,"1","2022",890,9,0,"2022-12-16 11:45:53 -0500","ocd-division/country:us/state:nh","324 Hart Senate Office Building","202-224-3324","NH","3","junior","S388",1.01,97.73,2.27,,,,
"H001089","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/H001089.json","Joshua","Hawley","1979-12-31","M","R",,"SenHawleyPress",,,"412840",,"169716",,"N00041620","/g/11bwy_95zy","S8MO00160","https://www.hawley.senate.gov","https://www.hawley.senate.gov/contact-senator-hawley",false,,"1","2024",890,15,0,"2022-12-16 11:45:53 -0500","ocd-division/country:us/state:mo","212 Russell Senate Office Building","202-224-6154","MO","1","junior","S399",1.69,87.83,12.17,,,,
"H001046","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/H001046.json","Martin","Heinrich","1971-10-17","M","D",,"MartinHeinrich","MartinHeinrich","SenMartinHeinrich","412281","1030686","74517","20930","N00029835","/m/02qkv0r","H8NM01224","https://www.heinrich.senate.gov","http://www.heinrich.senate.gov/contact",false,-0.33,"9","2024",890,22,0,"2022-12-16 11:45:53 -0500","ocd-division/country:us/state:nm","303 Hart Senate Office Building","202-224-5521","NM","1","senior","S359",2.47,99.31,0.69,,,,
"H000273","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000273.json","John","Hickenlooper","1952-02-07","M","D",,"SenatorHick",,,"456797",,,,"N00044206","/m/04g_1z","S0CO00575","https://www.hickenlooper.senate.gov","https://www.hickenlooper.senate.gov",false,,"1","2026",890,2,0,"2022-12-16 11:45:50 -0500","ocd-division/country:us/state:co","B85 Russell Senate Office Building","202-224-5941","CO","2","junior","S408",0.22,99.21,0.79,,,,
"H001042","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/H001042.json","Mazie","Hirono","1947-11-03","F","D",,"MazieHirono","senatorhirono","CongresswomanHirono","412200","91216","1677","20713","N00028139","/m/0357cd","H6HI02251","https://www.hirono.senate.gov","https://www.hirono.senate.gov/contact",false,-0.511,"9","2024",890,8,0,"2022-12-16 11:45:53 -0500","ocd-division/country:us/state:hi","713 Hart Senate Office Building","202-224-6361","HI","1","junior","S361",0.9,99.21,0.79,"https://www.hirono.senate.gov/rss/feeds/",,"K.",
"H001061","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/H001061.json","John","Hoeven","1957-03-13","M","R",,"SenJohnHoeven","SenatorJohnHoeven","senatorjohnhoevennd","412494","85233","41788","41107","N00031688","/m/01qb45","S0ND00093","https://www.hoeven.senate.gov","http://www.hoeven.senate.gov/public/index.cfm/email-the-senator",false,0.381,"11","2022",890,27,0,"2022-12-16 11:45:55 -0500","ocd-division/country:us/state:nd","338 Russell Senate Office Building","202-224-2551","ND","3","senior","S344",3.03,93.95,6.05,,"202-224-7999",,
"H001079","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H001079.json","Cindy","Hyde-Smith","1959-05-10","F","R",,"SenHydeSmith",,,"412743","113208","20784","41707","N00043298","/m/03wc2px","S8MS00261","https://www.hydesmith.senate.gov","https://www.hydesmith.senate.gov/content/contact-senator",false,0.435,"4","2026",890,33,0,"2022-12-20 16:22:07 -0500","ocd-division/country:us/state:ms","702 Hart Senate Office Building","202-224-5054","MS","2","junior","S395",3.71,92.96,7.04,,,,
"I000024","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/I000024.json","James","Inhofe","1934-11-17","M","R","","InhofePress","jiminhofe","jiminhofepressoffice","300055","5619","27027","15424","N00005582","/m/021kpl","S4OK00083","https://www.inhofe.senate.gov","https://www.inhofe.senate.gov/contact",false,0.555,"29","2026",890,97,0,"2023-01-02 21:17:00 -0500","ocd-division/country:us/state:ok","205 Russell Senate Office Building","202-224-4721","OK","2","senior","S236",10.9,96.04,3.96,,,"M.",
"J000293","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/J000293.json","Ron","Johnson","1955-04-08","M","R",,"SenRonJohnson","senronjohnson","SenatorRonJohnson","412496","62835","126217","41111","N00032546","/m/0cmdpzc","S0WI00197","https://www.ronjohnson.senate.gov","https://www.ronjohnson.senate.gov/public/index.cfm/email-the-senator",false,0.622,"11","2022",890,51,0,"2022-12-16 11:45:55 -0500","ocd-division/country:us/state:wi","328 Hart Senate Office Building","202-224-5323","WI","3","senior","S345",5.73,93.33,6.67,"https://www.ronjohnson.senate.gov/public/?a=rss.feed","920-230-7262",,
"K000384","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000384.json","Tim","Kaine","1958-02-26","M","D",,,"SenatorKaine","SenatorTimKaine","412582","49219","50772","41305","N00033177","/m/053f8h","S2VA00142","https://www.kaine.senate.gov","https://www.kaine.senate.gov/contact",false,-0.244,"9","2024",890,27,0,"2022-12-20 11:45:54 -0500","ocd-division/country:us/state:va","231 Russell Senate Office Building","202-224-4024","VA","1","junior","S362",3.03,99.54,0.46,,,,
"K000377","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/K000377.json","Mark","Kelly","1964-02-21","M","D",,"SenMarkKelly","SenMarkKelly","SenMarkKelly","456794",,"190594",,"N00044223","/m/02wsxy","S0AZ00350","https://www.kelly.senate.gov","https://www.kelly.senate.gov",false,,"1","2022",890,12,0,"2023-01-03 08:09:25 -0500","ocd-division/country:us/state:az","B40b Dirksen Senate Office Building","202-224-2235","AZ","3","junior","S406",1.35,97.38,2.62,,,,
"K000393","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/K000393.json","John","Kennedy","1951-11-21","M","R",,"SenJohnKennedy","JohnKennedyLouisiana",,"412679","1011723","35496","41703","N00026823","/m/0fl2sv","S4LA00065","https://www.kennedy.senate.gov/public","https://www.kennedy.senate.gov/public/email-me",false,0.564,"1","2022",890,53,0,"2022-12-16 11:45:53 -0500","ocd-division/country:us/state:la","416 Russell Senate Office Building","202-224-4623","LA","3","junior","S389",5.96,91.57,8.43,"https://www.kennedy.senate.gov/public/?a=RSS.Feed",,,
"K000383","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000383.json","Angus","King","1944-03-31","M","ID",,"SenAngusKing","SenatorAngusSKingJr","SenatorAngusKing","412545","37413","22381","41300","N00034580","/m/02hfx0","S2ME00109","https://www.king.senate.gov","https://www.king.senate.gov/contact",false,-0.161,"9","2024",890,6,0,"2022-12-15 06:49:04 -0500","ocd-division/country:us/state:me","133 Hart Senate Office Building","202-224-5344","ME","1","junior","S363",0.67,98.75,1.25,,,,
"K000367","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000367.json","Amy","Klobuchar","1960-05-25","F","D","Senate Democratic Steering Committee Chair","SenAmyKlobuchar",,"senatorklobuchar","412242","83701","65092","40700","N00027500","/m/05fbpt","S6MN00267","https://www.klobuchar.senate.gov","http://www.klobuchar.senate.gov/public/index.cfm/contact",false,-0.284,"15","2024",890,12,0,"2022-12-20 11:45:53 -0500","ocd-division/country:us/state:mn","425 Dirksen Senate Office Building","202-224-3244","MN","1","senior","S311",1.35,99.32,0.68,,,,
