"id","title","short_title","api_uri","first_name","last_name","date_of_birth","party","govtrack_id","icpsr_id","fec_candidate_id","url","in_office","seniority","last_updated","ocd_id","state","senate_class","state_rank","lis_id","middle_name","gender","youtube_account","cspan_id","google_entity_id","suffix","twitter_account","votesmart_id","crp_id","facebook_account","rss_url"
"B000780","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B000780.json","John","Breaux","1944-03-01","D","300012","13056","","",false,"1","2013-04-12 20:11:59 -0400","ocd-division/country:us/state:la","LA","3","","S179","B.","M",,,,,,,,,
"B001057","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/B001057.json","Dale","Bumpers","1925-08-12","D","402004","14300","","",false,"13","2013-04-12 20:11:57 -0400","ocd-division/country:us/state:ar","AR","3","","S014",,"M",,,,,,,,,
"B001077","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001077.json","Quentin","Burdick","1908-06-19","D","402023","1252","","",false,"27","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:nd","ND","1","","S015","Northrup",,,,,,,,,,
"B001210","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/B001210.json","Robert","Byrd","1917-11-20","D","300016","1366","","",false,"29","2016-06-14 16:26:04 -0400","ocd-division/country:us/state:wv","WV","1","","S017","C.","M",,,"/m/06bss",,,,,,
"C000269","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000269.json","John","Chafee","1922-10-22","R","402412","14500","","",false,"11","2013-04-12 20:11:58 -0400","ocd-division/country:us/state:ri","RI","1","","S116","H.","M",,,,,,,,,
"C000356","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/C000356.json","Lawton","Chiles","1930-04-03","D","402495","13101","","",false,"17","2013-04-12 20:11:52 -0400","ocd-division/country:us/state:fl","FL","1","","","Mainor",,,,,,,,,,
"C000567","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C000567.json","Thad","Cochran","1937-12-07","R","300023","14009","","https://www.cochran.senate.gov",false,"9","2018-03-07 08:14:11 -0500","ocd-division/country:us/state:ms","MS","2","","S136",,"M","sencochran","1200","/m/01fmcd",,"SenThadCochran","53312","N00003328",,
"C000598","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/C000598.json","William","Cohen","1940-08-28","R","402727","14010","","",false,"9","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:me","ME","2","","S137","Sebastian","M",,,,,,,,,
"C000705","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000705.json","Kent","Conrad","1948-03-12","D","300026","15501","","",false,"1","2016-06-14 16:27:37 -0400","ocd-division/country:us/state:nd","ND","3","","S201",,"M","SenatorConrad","2517","/m/021fx2",,,,,,
"C000877","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/C000877.json","Alan","Cranston","1914-06-19","D","402990","12103","","",false,"19","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:ca","CA","3","","S023",,,,,,,,,,,
"D000018","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000018.json","Alfonse","D'Amato","1937-08-01","R","403142","14900","","",false,"7","2013-04-12 20:11:57 -0400","ocd-division/country:us/state:ny","NY","3","","S147","M.","M",,,,,,,,,
"D000030","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/D000030.json","John","Danforth","1936-09-05","R","403171","14501","","",false,"11","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:mo","MO","1","","S108","Claggett","M",,"103",,,,,,,
"D000064","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000064.json","Thomas","Daschle","1947-12-09","D","300031","14617","","",false,"1","2013-04-12 20:12:00 -0400","ocd-division/country:us/state:sd","SD","3","","S185","A.","M",,,,,,,,,
"D000185","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/D000185.json","Dennis","DeConcini","1937-05-08","D","403346","14502","","",false,"11","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:az","AZ","1","","S102","Webster","M",,,,,,,,,
"D000366","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000366.json","Alan","Dixon","1927-07-07","D","403483","14902","","",false,"7","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:il","IL","3","","S149","John",,,,,,,,,,
"D000388","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000388.json","Christopher","Dodd","1944-05-27","D","300034","14213","","",false,"7","2016-06-14 16:30:50 -0400","ocd-division/country:us/state:ct","CT","3","","S150","J.","M","SenChrisDodd",,"/m/01xcly",,"SenChrisDodd",,,,
"D000401","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/D000401.json","Robert","Dole","1923-07-22","R","403515","10513","","",false,"19","2013-04-12 20:11:57 -0400","ocd-division/country:us/state:ks","KS","3","","S026","Joseph","M",,,,,,,,,
"D000407","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/D000407.json","Pete","Domenici","1932-05-07","R","300036","14103","","",false,"15","2013-04-12 20:12:01 -0400","ocd-division/country:us/state:nm","NM","2","","S027","V.","M",,,,,,,,,
"D000566","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/D000566.json","David","Durenberger","1934-08-19","R","403669","14703","","",false,"9","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:mn","MN","1","","S133","Ferdinand","M",,,,,,,,,
"E000236","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/E000236.json","Daniel","Evans","1925-10-16","R","403920","15105","","",false,"4","2013-04-12 20:11:52 -0400","ocd-division/country:us/state:wa","WA","1","","","Jackson","M",,,,,,,,,
"E000284","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/E000284.json","J. James","Exon","1921-08-09","D","403962","14704","","",false,"9","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:ne","NE","2","","S129",,"M",,,,,,,,,
"F000268","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/F000268.json","Wendell","Ford","1924-09-08","D","404219","14302","","",false,"13","2013-04-12 20:11:57 -0400","ocd-division/country:us/state:ky","KY","3","","S033","H.","M",,,,,,,,,
"F000329","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/F000329.json","Wyche","Fowler","1940-10-06","D","404277","14467","","",false,"1","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:ga","GA","3","","S183",,,,,,,,,,,
"G000072","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000072.json","Edwin","Garn","1932-10-12","R","404444","14303","","",false,"13","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:ut","UT","3","","S034","Jacob","M",,,,,,,,,
"G000236","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000236.json","John","Glenn","1921-07-18","D","404598","14304","","",false,"13","2017-11-29 06:35:53 -0500","ocd-division/country:us/state:oh","OH","3","","S035","H.","M",,,,"Jr.",,,,,
"G000321","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/G000321.json","Albert","Gore","1948-03-31","D","404679","14423","","",false,"3","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:tn","TN","2","","S170","Arnold","M",,,,,,,,,
"G000352","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000352.json","Bob","Graham","1936-11-09","D","300046","15502","","",false,"1","2013-04-12 20:12:00 -0400","ocd-division/country:us/state:fl","FL","3","","S199",,"M",,,,,,,,,
"G000365","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/G000365.json","Phil","Gramm","1942-07-08","R","300159","14628","","",false,"3","2013-04-12 20:11:59 -0400","ocd-division/country:us/state:tx","TX","2","","S171",,"M",,,,,,,,,
"G000386","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000386.json","Charles","Grassley","1933-09-17","R","300048","14226","","https://www.grassley.senate.gov",false,"7","2019-01-06 15:21:00 -0500","ocd-division/country:us/state:ia","IA","3","","S153","E.","M","senchuckgrassley","1167","/m/020ymy",,"ChuckGrassley","53293","N00001758","grassley","https://www.grassley.senate.gov/?q=rss.xml"
"H000206","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000206.json","Tom","Harkin","1939-11-19","D","300051","14230","","http://www.harkin.senate.gov",false,"3","2016-06-14 16:31:22 -0400","ocd-division/country:us/state:ia","IA","2","","S172",,"M","SenatorTomHarkin","2005","/m/020ynq",,"SenatorHarkin",,,"tomharkin",
"H000338","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/H000338.json","Orrin","Hatch","1934-03-22","R","300052","14503","","https://www.hatch.senate.gov",false,"11","2018-03-07 08:14:08 -0500","ocd-division/country:us/state:ut","UT","1","","S118","G.","M","SenatorOrrinHatch","189","/m/016mj4",,"SenOrrinHatch","53352","N00009869","senatororrinhatch","https://www.hatch.senate.gov/public/index.cfm/rss/feed"
"H000343","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000343.json","Mark","Hatfield","1922-07-12","R","405212","11203","","",false,"21","2013-04-12 20:11:56 -0400","ocd-division/country:us/state:or","OR","2","","S044","Odom","M",,,,,,,,,
"H000439","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/H000439.json","Jacob","Hecht","1928-11-30","R","405305","15102","","",false,"5","2013-04-12 20:11:52 -0400","ocd-division/country:us/state:nv","NV","1","","","Chic","M",,,,,,,,,
"H000445","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000445.json","Howell","Heflin","1921-06-19","D","405310","14705","","",false,"9","2013-04-12 20:11:56 -0400","ocd-division/country:us/state:al","AL","2","","S130","Thomas","M",,,,,,,,,
"H000456","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/H000456.json","Henry","Heinz","1938-10-23","R","405321","13050","","",false,"11","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:pa","PA","1","","S115","John","M",,,,,,,,,
"H000463","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000463.json","Jesse","Helms","1921-10-18","R","300154","14105","","",false,"15","2013-04-12 20:11:59 -0400","ocd-division/country:us/state:nc","NC","2","","S046",,"M",,,,,,,,,
"H000725","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/H000725.json","Ernest","Hollings","1922-01-01","D","300053","11204","","",false,"21","2013-04-12 20:12:00 -0400","ocd-division/country:us/state:sc","SC","3","","S047","F.","M",,,,,,,,,
"H000951","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000951.json","Gordon","Humphrey","1940-10-09","R","405795","14706","","",false,"9","2013-04-12 20:11:53 -0400","ocd-division/country:us/state:nh","NH","2","","S138","John",,,,,,,,,,
"I000025","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/I000025.json","Daniel","Inouye","1924-09-07","D","300056","4812","","",false,"25","2016-06-14 16:31:37 -0400","ocd-division/country:us/state:hi","HI","3","","S051","K.","M",,"2568","/m/021sv1",,"daniel_inouye",,,,
"J000189","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/J000189.json","John","Johnston","1932-06-10","D","406084","14107","","",false,"15","2013-04-12 20:11:56 -0400","ocd-division/country:us/state:la","LA","2","","S054","Bennett","M",,,,,,,,,
"K000011","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000011.json","David","Karnes","1948-12-12","R","406183","15504","","",false,"1","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:ne","NE","1","","","Kemp","M",,,,,,,,,
"K000017","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/K000017.json","Nancy","Kassebaum","1932-07-29","R","406188","14708","","",false,"9","2013-04-12 20:11:56 -0400","ocd-division/country:us/state:ks","KS","2","","S140","Landon","F",,,,,,,,,
"K000019","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/K000019.json","Robert","Kasten","1942-06-19","R","406190","14242","","",false,"7","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:wi","WI","3","","S155","Walter","M",,,,,,,,,
"K000105","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000105.json","Edward","Kennedy","1932-02-22","D","300059","10808","","",false,"25","2013-04-12 20:12:03 -0400","ocd-division/country:us/state:ma","MA","1","","S055","M.","M",,,,,,,,,
"K000148","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/K000148.json","John","Kerry","1943-12-11","D","300060","15300","","",false,"3","2016-06-14 16:31:44 -0400","ocd-division/country:us/state:ma","MA","2","","S173",,"M","senatorkerry","1485","/m/0d3qd0",,,,,,
"L000123","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/L000123.json","Frank","Lautenberg","1924-01-23","D","300064","14914","","http://www.lautenberg.senate.gov/",false,"5","2016-06-14 16:31:54 -0400","ocd-division/country:us/state:nj","NJ","1","","S166","R.","M",,"2515","/m/01wsvs",,"franklautenberg",,,"franklautenberg",
"L000174","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/L000174.json","Patrick","Leahy","1940-03-31","D","300065","14307","","https://www.leahy.senate.gov",false,"13","2019-01-06 15:20:55 -0500","ocd-division/country:us/state:vt","VT","3","","S057","J.","M","SenatorPatrickLeahy","1552","/m/0202kf",,"SenatorLeahy","53353","N00009918","SenatorPatrickLeahy",
"L000261","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/L000261.json","Carl","Levin","1934-06-28","D","300066","14709","","http://www.levin.senate.gov",false,"9","2016-06-14 16:31:55 -0400","ocd-division/country:us/state:mi","MI","2","","S131",,"M","SenCarlLevin","2592","/m/01xh6j",,"SenCarlLevin",,,"carllevin",
"L000504","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/L000504.json","Richard","Lugar","1932-04-04","R","300070","14506","","",false,"11","2016-06-14 16:31:57 -0400","ocd-division/country:us/state:in","IN","1","","S105","G.","M","senatorlugar","255","/m/01d_bx",,"senatorlugar",,,,
"M000250","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M000250.json","Spark","Matsunaga","1916-10-08","D","407268","10605","","",false,"11","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:hi","HI","1","","S104","Masayuki",,,,,,,,,,
"M000303","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/M000303.json","John","McCain","1936-08-29","R","300071","15039","","https://www.mccain.senate.gov",false,"1","2018-03-07 08:14:47 -0500","ocd-division/country:us/state:az","AZ","3","","S197",,"M","SenatorJohnMcCain","7476","/m/0bymv",,"SenJohnMcCain","53270","N00006424","johnmccain","https://www.mccain.senate.gov/public/?a=rss.feed"
"M000346","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/M000346.json","James","McClure","1924-12-27","R","407355","11029","","",false,"15","2013-04-12 20:11:53 -0400","ocd-division/country:us/state:id","ID","2","","S063","Albertus","M",,,,,,,,,
"M000355","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/M000355.json","Mitch","McConnell","1942-02-20","R","300072","14921","","https://www.mcconnell.senate.gov",false,"3","2018-03-07 08:14:12 -0500","ocd-division/country:us/state:ky","KY","2","","S174",,"M",,"2351","/m/01z6ls",,"McConnellPress","53298","N00003389","mitchmcconnell","https://www.mcconnell.senate.gov/public/?a=RSS.Feed"
"M000635","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M000635.json","John","Melcher","1924-09-06","D","407622","12039","","",false,"11","2013-04-12 20:11:52 -0400","ocd-division/country:us/state:mt","MT","1","","",,"M",,,,,,,,,
"M000678","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M000678.json","Howard","Metzenbaum","1917-06-04","D","407663","14073","","",false,"12","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:oh","OH","1","","S114","Morton","M",,,,,,,,,
"M000702","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/M000702.json","Barbara","Mikulski","1936-07-20","D","300073","14440","","https://www.mikulski.senate.gov",false,"1","2017-01-02 13:52:20 -0500","ocd-division/country:us/state:md","MD","3","","S182","A.","F","senatormikulski","1396","/m/0206nm",,"SenatorBarb",,,"SenatorMikulski",
"M000811","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M000811.json","George","Mitchell","1933-08-20","D","407786","14713","","",false,"7","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:me","ME","1","","S144","John","M",,,,,,,,,
"M001054","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M001054.json","Daniel","Moynihan","1927-03-16","D","400563","14508","","",false,"11","2013-04-12 20:11:58 -0400","ocd-division/country:us/state:ny","NY","1","","S113","Patrick","M",,,,,,,,,
"M001085","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/M001085.json","Frank","Murkowski","1933-03-28","R","300150","14908","","",false,"7","2013-04-12 20:12:00 -0400","ocd-division/country:us/state:ak","AK","3","","S157","H.","M",,,,,,,,,
"N000102","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/N000102.json","Don","Nickles","1948-12-06","R","300079","14909","","",false,"7","2013-04-12 20:12:00 -0400","ocd-division/country:us/state:ok","OK","3","","S158",,"M",,,,,,,,,
"N000171","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/N000171.json","Samuel","Nunn","1938-09-08","D","408252","14108","","",false,"15","2013-04-12 20:11:56 -0400","ocd-division/country:us/state:ga","GA","2","","S074","Augustus","M",,,,,,,,,
"P000009","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/P000009.json","Robert","Packwood","1932-09-11","R","408420","12107","","",false,"19","2013-04-12 20:11:57 -0400","ocd-division/country:us/state:or","OR","3","","S075","William","M",,,,,,,,,
"P000193","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/P000193.json","Claiborne","Pell","1918-11-22","D","408597","10818","","",false,"27","2013-04-12 20:11:56 -0400","ocd-division/country:us/state:ri","RI","2","","S078","de Borda","M",,,,,,,,,
"P000513","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/P000513.json","Larry","Pressler","1942-03-29","R","408898","14268","","",false,"9","2013-04-12 20:11:56 -0400","ocd-division/country:us/state:sd","SD","2","","S141","Lee",,,,,,,,,,
"P000553","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/P000553.json","William","Proxmire","1915-11-11","D","408937","7638","","",false,"30","2013-04-12 20:11:52 -0400","ocd-division/country:us/state:wi","WI","1","","",,"M",,,,,,,,,
"P000556","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/P000556.json","David","Pryor","1934-08-29","D","408939","10791","","",false,"9","2013-04-12 20:11:56 -0400","ocd-division/country:us/state:ar","AR","2","","S125","Hampton","M",,,,,,,,,
"Q000007","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/Q000007.json","James","Quayle","1947-02-04","R","408970","14447","","",false,"7","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:in","IN","3","","","Danforth","M",,,,,,,,,
"R000146","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/R000146.json","Harry","Reid","1939-12-02","D","300082","15054","","http://www.reid.senate.gov",false,"1","2016-06-14 16:32:48 -0400","ocd-division/country:us/state:nv","NV","3","","S198",,"M","SenatorReid","1683","/m/0204x1",,"SenatorReid",,,"SenatorReid",
"R000249","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/R000249.json","Donald","Riegle","1938-02-04","D","409225","11043","","",false,"11","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:mi","MI","1","","S107","Wayne","M",,,,,,,,,
"R000361","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/R000361.json","John","Rockefeller","1937-06-18","D","300084","14922","","http://www.rockefeller.senate.gov",false,"3","2017-11-29 06:35:55 -0500","ocd-division/country:us/state:wv","WV","2","","S176","D.","M","SenatorRockefeller","1238","/m/01xmnh","IV","SenRockefeller",,,"SenRockefeller",
"R000460","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/R000460.json","William","Roth","1921-07-22","R","400565","11044","","",false,"17","2017-11-29 06:35:54 -0500","ocd-division/country:us/state:de","DE","1","","S083","V.","M",,,,"Jr.",,,,,
"R000497","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/R000497.json","Warren","Rudman","1930-05-18","R","409456","14910","","",false,"7","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:nh","NH","3","","S160","Bruce","M",,,,,,,,,
"S000055","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/S000055.json","James","Sanford","1917-08-20","D","409562","15503","","",false,"1","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:nc","NC","3","","S178","Terry","M",,,,,,,,,
"S000064","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/S000064.json","Paul","Sarbanes","1933-02-03","D","300086","13039","","",false,"11","2013-04-12 20:12:01 -0400","ocd-division/country:us/state:md","MD","1","","S106","S.","M",,,,,,,,,
"S000068","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/S000068.json","James","Sasser","1936-09-30","D","409580","14509","","",false,"11","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:tn","TN","1","","S117","Ralph","M",,,,,,,,,
"S000320","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/S000320.json","Richard","Shelby","1934-05-06","D","300089","94659","","https://www.shelby.senate.gov",false,"1","2019-01-06 15:20:46 -0500","ocd-division/country:us/state:al","AL","3","","S184","C.","M","SenatorRichardShelby","1859","/m/020yj1",,"SenShelby","53266","N00009920","RichardShelby","https://www.shelby.senate.gov/public/?a=rss.feed"
"S000423","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/S000423.json","Paul","Simon","1928-11-29","D","409917","14275","","",false,"3","2013-04-12 20:11:56 -0400","ocd-division/country:us/state:il","IL","2","","S175","Martin","M",,,,,,,,,
"S000429","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/S000429.json","Alan","Simpson","1931-09-02","R","409923","14710","","",false,"9","2013-04-12 20:11:57 -0400","ocd-division/country:us/state:wy","WY","2","","S142","Kooi","M",,"378",,,,,,,
"S000709","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/S000709.json","Arlen","Specter","1930-02-12","R","300092","14911","","",false,"7","2016-06-14 16:33:08 -0400","ocd-division/country:us/state:pa","PA","3","","S161",,"M","SenatorArlenSpecter",,"/m/0204ym",,"SenArlenSpecter",,,,
"S000776","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/S000776.json","Robert","Stafford","1913-08-08","R","410242","10562","","",false,"16","2013-04-12 20:11:53 -0400","ocd-division/country:us/state:vt","VT","1","","","Theodore","M",,,,,,,,,
"S000852","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/S000852.json","John","Stennis","1901-08-03","D","410315","8883","","",false,"40","2013-04-12 20:11:53 -0400","ocd-division/country:us/state:ms","MS","1","","","Cornelius","M",,,,,,,,,
"S000888","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/S000888.json","Ted","Stevens","1923-11-18","R","300094","12109","","",false,"19","2013-04-12 20:12:02 -0400","ocd-division/country:us/state:ak","AK","2","","S090","F.","M",,,,,,,,,
"S001138","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/S001138.json","Steven","Symms","1938-04-23","R","410588","14056","","",false,"7","2013-04-12 20:11:54 -0400","ocd-division/country:us/state:id","ID","3","","S162","Douglas",,,,,,,,,,
"T000254","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/T000254.json","Strom","Thurmond","1902-12-05","R","300157","9369","","",false,"32","2013-04-12 20:11:59 -0400","ocd-division/country:us/state:sc","SC","2","","S096",,"M",,,,,,,,,
"T000367","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/T000367.json","Paul","Trible","1946-12-29","R","410936","14456","","",false,"5","2013-04-12 20:11:53 -0400","ocd-division/country:us/state:va","VA","1","","","Seward","M",,,,,,,,,
"W000092","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/W000092.json","Malcolm","Wallop","1933-02-27","R","411271","14511","","",false,"11","2013-04-12 20:11:55 -0400","ocd-division/country:us/state:wy","WY","1","","S119",,"M",,,,,,,,,
"W000154","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/W000154.json","John","Warner","1927-02-18","R","300099","14712","","",false,"9","2013-04-12 20:12:02 -0400","ocd-division/country:us/state:va","VA","2","","S143","W.","M",,,,,,,,,
