"id","title","short_title","api_uri","first_name","middle_name","last_name","date_of_birth","gender","party","twitter_account","youtube_account","govtrack_id","cspan_id","icpsr_id","google_entity_id","fec_candidate_id","url","in_office","dw_nominate","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","state","senate_class","state_rank","lis_id","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","facebook_account","votesmart_id","crp_id","rss_url","suffix"
"D000563","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/D000563.json","Richard","J.","Durbin","1944-11-21","M","D","SenatorDurbin","SenatorDurbin","300038","6741","15021","/m/01xcd1","","https://www.durbin.senate.gov",false,-0.362,"15","2014",486,5,0,"2019-11-18 02:30:23 -0500","ocd-division/country:us/state:il","IL","2","","S253",1.03,95.82,4.18,"SenatorDurbin","26847","N00004981",,
"E000194","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/E000194.json","John",,"Ensign","1958-03-25","M","R","SenEnsign","SenatorEnsign","300040","37076","29537","/m/0204wp","","",false,0.508,"11","2012",63,6,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:nv","NV","1","","S281",9.52,85.96,14.04,,,,,
"E000285","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/E000285.json","Michael","B.","Enzi","1944-02-01","M","R","SenatorEnzi","senatorenzi","300041","45824","49706","/m/021ph1","","https://www.enzi.senate.gov",false,0.539,"15","2014",486,12,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:wy","WY","2","","S254",2.47,92.69,7.31,"mikeenzi","558","N00006249","https://www.enzi.senate.gov/public/?a=rss.feed",
"F000062","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/F000062.json","Dianne",,"Feinstein","1933-06-22","F","D","SenFeinstein","SenatorFeinstein","300043","13061","49300","/m/01gqws","","https://www.feinstein.senate.gov",false,-0.267,"19","2012",486,9,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ca","CA","1","","S221",1.85,95.99,4.01,"senatorfeinstein","53273","N00007364","https://www.feinstein.senate.gov/public/?a=rss.feed",
"F000457","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/F000457.json","Al",,"Franken","1951-05-21","M","D","SenFranken","SenatorFranken","412378","23334","40904","/m/01lct6","","https://www.franken.senate.gov/",false,-0.4,"3","2014",486,2,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:mn","MN","2","","S332",0.41,96.26,3.74,"senatoralfranken","108924","N00029016","https://www.franken.senate.gov/rss/",
"G000555","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/G000555.json","Kirsten","E.","Gillibrand","1966-12-09","F","D","GillibrandNY","KirstenEGillibrand","412223","1022862","20735","/m/0gnfc4","","https://www.gillibrand.senate.gov",false,-0.398,"3","2012",486,3,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ny","NY","1","","S331",0.62,96.67,3.33,"SenKirstenGillibrand","65147","N00027658",,
"G000359","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/G000359.json","Lindsey",,"Graham","1955-07-09","M","R","GrahamBlog","USSenLindseyGraham","300047","36782","29566","/m/01_pdg","","https://www.lgraham.senate.gov/public",false,0.408,"9","2014",486,12,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:sc","SC","2","","S293",2.47,86.7,13.3,"USSenatorLindseyGraham","21992","N00009975","https://www.lgraham.senate.gov/public/?a=rss.feed",
"G000386","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/G000386.json","Charles","E.","Grassley","1933-09-17","M","R","ChuckGrassley","senchuckgrassley","300048","1167","14226","/m/020ymy","","https://www.grassley.senate.gov",false,0.342,"31","2016",486,0,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ia","IA","3","","S153",0,87.84,12.16,"grassley","53293","N00001758","https://www.grassley.senate.gov/?q=rss.xml",
"H001049","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H001049.json","Kay",,"Hagan","1953-05-26","F","D","SenatorHagan","SenatorHagan","412324","1028015","40907","/m/02b56f","","http://www.hagan.senate.gov",false,-0.202,"3","2014",486,9,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:nc","NC","2","","S320",1.85,92.19,7.81,"SenatorHagan",,,,
"H000206","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/H000206.json","Tom",,"Harkin","1939-11-19","M","D","SenatorHarkin","SenatorTomHarkin","300051","2005","14230","/m/020ynq","","http://www.harkin.senate.gov",false,-0.351,"27","2014",486,17,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ia","IA","2","","S172",3.5,94.21,5.79,"tomharkin",,,,
"H000338","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/H000338.json","Orrin","G.","Hatch","1934-03-22","M","R","SenOrrinHatch","SenatorOrrinHatch","300052","189","14503","/m/016mj4","","https://www.hatch.senate.gov",false,0.382,"35","2012",486,48,4,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ut","UT","1","","S118",9.88,89.07,10.93,"senatororrinhatch","53352","N00009869","https://www.hatch.senate.gov/public/index.cfm/rss/feed",
"H001041","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/H001041.json","Dean",,"Heller","1960-05-10","M","R","SenDeanHeller","SenDeanHeller","412218","1012368","20730","/m/0g92xz","","https://www.heller.senate.gov/public",false,,"1",,420,30,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:nv","NV","1","","S352",7.14,75.92,24.08,"SenDeanHeller","2291","N00027522",,
"H001061","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/H001061.json","John",,"Hoeven","1957-03-13","M","R","SenJohnHoeven","senatorjohnhoevennd","412494","85233","41107","/m/01qb45","","https://www.hoeven.senate.gov",false,0.34,"1","2016",486,10,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:nd","ND","3","","S344",2.06,83.51,16.49,"SenatorJohnHoeven","41788","N00031688",,
"H001016","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/H001016.json","Kay","Bailey","Hutchison","1943-07-22","F","R","kaybaileyhutch","SenatorHutchison","300054","24713","49306","/m/02050j","","",false,0.356,"19","2012",486,33,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:tx","TX","1","","S235",6.79,88.51,11.49,,,,,
"I000024","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/I000024.json","James","M.","Inhofe","1934-11-17","M","R","InhofePress","jiminhofepressoffice","300055","5619","15424","/m/021kpl","","https://www.inhofe.senate.gov",false,0.552,"19","2014",486,29,1,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ok","OK","2","","S236",5.97,88.17,11.83,"jiminhofe","27027","N00005582",,
"I000025","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/I000025.json","Daniel","K.","Inouye","1924-09-07","M","D","daniel_inouye",,"300056","2568","4812","/m/021sv1","","",false,-0.319,"43","2016",463,36,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:hi","HI","3","","S051",7.78,96.23,3.77,,,,,
"I000055","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/I000055.json","Johnny",,"Isakson","1944-12-28","M","R","SenatorIsakson","SenatorIsakson","400194","59135","29909","/m/02556q","","https://www.isakson.senate.gov",false,0.403,"7","2016",486,11,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ga","GA","3","","S305",2.26,92.27,7.73,,"1721","N00002593","https://www.isakson.senate.gov/public/?a=RSS.Feed",
"J000291","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/J000291.json","Mike",,"Johanns","1950-06-18","M","R","Mike_Johanns","SenatorMikeJohanns","412320","56552","40905","/m/02722_","","http://www.johanns.senate.gov",false,0.391,"3","2014",486,2,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ne","NE","2","","S321",0.41,88.42,11.58,"MikeJohanns",,,,
"J000177","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/J000177.json","Tim",,"Johnson","1946-12-28","M","D","SenJohnsonSD","senatorjohnson","300058","2545","15425","/m/01xwcp","","http://www.johnson.senate.gov",false,-0.25,"15","2014",486,5,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:sd","SD","2","","S257",1.03,96.65,3.35,"Senator-Tim-Johnson",,,,
"J000293","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/J000293.json","Ron",,"Johnson","1955-04-08","M","R","SenRonJohnson","SenatorRonJohnson","412496","62835","41111","/m/0cmdpzc","","https://www.ronjohnson.senate.gov",false,0.6,"1","2016",486,1,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:wi","WI","3","","S345",0.21,88.66,11.34,"senronjohnson","126217","N00032546","https://www.ronjohnson.senate.gov/public/?a=rss.feed",
"K000148","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/K000148.json","John",,"Kerry","1943-12-11","M","D",,"senatorkerry","300060","1485","15300","/m/0d3qd0","","",false,,"27","2014",486,25,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ma","MA","2","","S173",5.14,96.94,3.06,,,,,
"K000360","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/K000360.json","Mark","Steven","Kirk","1959-09-15","M","R","SenatorKirk","SenatorKirk","400222","85221","20115","/m/0256rr","","https://www.kirk.senate.gov",false,0.274,"3","2016",486,263,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:il","IL","3","","S339",54.12,87.84,12.16,"SenatorKirk",,,,
"K000367","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000367.json","Amy",,"Klobuchar","1960-05-25","F","D","SenAmyKlobuchar","senatorklobuchar","412242","83701","40700","/m/05fbpt","","https://www.klobuchar.senate.gov",false,-0.244,"5","2012",486,2,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:mn","MN","1","","S311",0.41,94.18,5.82,,"65092","N00027500",,
"K000305","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000305.json","Herb",,"Kohl","1935-02-07","M","D",,"SenatorKohl","300061","4030","15704","/m/04fy4q","","",false,-0.205,"23","2012",486,17,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:wi","WI","1","","S209",3.5,94.64,5.36,,,,,
"K000352","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/K000352.json","Jon",,"Kyl","1942-04-25","M","R","senjonkyl","SenJonKyl","300062",,"15428","/m/01y0mp","","",false,,"17","2012",486,4,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:az","AZ","1","","S243",0.82,91.54,8.46,,,,,
"L000550","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/L000550.json","Mary","L.","Landrieu","1955-11-23","F","D","SenLandrieu","senatorlandrieu","300063","22357","49702","/m/019tyn","","http://www.landrieu.senate.gov",false,-0.203,"15","2014",486,14,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:la","LA","2","","S258",2.88,92.11,7.89,"senatormarylandrieu",,,,
"L000123","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/L000123.json","Frank","R.","Lautenberg","1924-01-23","M","D","franklautenberg",,"300064","2515","14914","/m/01wsvs","","http://www.lautenberg.senate.gov/",false,-0.382,"27","2014",486,37,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:nj","NJ","2","","S166",7.61,96.19,3.81,"franklautenberg",,,,
"L000174","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/L000174.json","Patrick","J.","Leahy","1940-03-31","M","D","SenatorLeahy","SenatorPatrickLeahy","300065","1552","14307","/m/0202kf","","https://www.leahy.senate.gov",false,-0.371,"37","2016",486,11,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:vt","VT","3","","S057",2.26,95.13,4.87,"SenatorPatrickLeahy","53353","N00009918",,
"L000577","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/L000577.json","Mike",,"Lee","1971-06-04","M","R","SenMikeLee","senatormikelee","412495","9267977","41110","/m/09v5q9x","","https://www.lee.senate.gov",false,0.924,"1","2016",486,13,1,"2022-07-13 02:50:29 -0400","ocd-division/country:us/state:ut","UT","3","","S346",2.67,74.84,25.16,"senatormikelee","66395","N00031696","https://www.lee.senate.gov/public/?a=rss.feed",
"L000261","Senator, 2nd Class","Sen.","https://api.propublica.org/congress/v1/members/L000261.json","Carl",,"Levin","1934-06-28","M","D","SenCarlLevin","SenCarlLevin","300066","2592","14709","/m/01xh6j","","http://www.levin.senate.gov",false,-0.395,"33","2014",486,0,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:mi","MI","2","","S131",0,95.03,4.97,"carllevin",,,,
"L000304","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/L000304.json","Joseph","I.","Lieberman","1942-02-24","M","I","JoeLieberman","SenatorJoeLieberman","300067","4363","15705","/m/0jw5r","","",false,,"23","2012",486,19,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:ct","CT","1","","S210",3.91,90.73,9.27,,,,,
"L000504","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/L000504.json","Richard","G.","Lugar","1932-04-04","M","R","senatorlugar","senatorlugar","300070","255","14506","/m/01d_bx","","",false,0.304,"35","2012",486,6,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:in","IN","1","","S105",1.23,85.56,14.44,,,,,
"M001183","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M001183.json","Joe",,"Manchin","1947-08-24","M","D","Sen_JoeManchin","SenatorJoeManchin","412391","62864","40915","/m/04lc5t","","https://www.manchin.senate.gov",false,-0.058,"3","2012",486,3,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:wv","WV","1","","S338",0.62,83.96,16.04,"JoeManchinIII","7547","N00032838",,"III"
"M000303","Senator, 3rd Class","Sen.","https://api.propublica.org/congress/v1/members/M000303.json","John",,"McCain","1936-08-29","M","R","SenJohnMcCain","SenatorJohnMcCain","300071","7476","15039","/m/0bymv","S6AZ00019","https://www.mccain.senate.gov",false,0.381,"25","2016",486,30,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:az","AZ","3","","S197",6.17,88.81,11.19,"johnmccain","53270","N00006424","https://www.mccain.senate.gov/public/?a=rss.feed",
"M001170","Senator, 1st Class","Sen.","https://api.propublica.org/congress/v1/members/M001170.json","Claire",,"McCaskill","1953-07-24","F","D","clairecmc","SenatorMcCaskill","412243","1012014","40701","/m/040_w4","","https://www.mccaskill.senate.gov",false,-0.144,"5","2012",486,17,0,"2019-10-07 08:18:20 -0400","ocd-division/country:us/state:mo","MO","1","","S312",3.5,85.62,14.38,"senatormccaskill","2109","N00027694",,
