"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","twitter_account","facebook_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","in_office","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","youtube_account","leadership_role","suffix"
"B001291","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001291.json","Brian","Babin","1948-03-23","M","R","RepBrianBabin","RepBrianBabin","412655","44883","360","21551","N00005736","/m/010qgj35","H6TX02079","https://babin.house.gov",,true,"10","2024",31,1,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:tx/cd:36","2236 Rayburn House Office Building","202-225-1555","TX","36",false,"4836",3.23,48.28,0,,,,
"B001298","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001298.json","Don","Bacon","1963-08-16","M","R","repdonbacon","RepDonBacon","412713","103442","166299","21701","N00037049","/m/01311t71","H6NE02125","https://bacon.house.gov",,true,"8","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:ne/cd:2","2104 Rayburn House Office Building","202-225-4155","NE","2",false,"3102",0,50,0,,,,
"B001307","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001307.json","James","Baird","1945-06-04","M","R","RepJimBaird",,"412777",,"86013",,"N00041954","/g/11gfd5wndr","H8IN04199","https://baird.house.gov",,true,"6","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:in/cd:4","2303 Rayburn House Office Building","202-225-5037","IN","4",false,"1804",0,50,0,,,,
"B001306","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001306.json","Troy","Balderson","1962-01-16","M","R","RepBalderson",,"412747",,"102781",,"N00042194","/m/09ry4tm","H8OH12180","https://balderson.house.gov",,true,"8","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:oh/cd:12","2429 Rayburn House Office Building","202-225-5355","OH","12",false,"3912",0,50,0,,,,
"B001318","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001318.json","Becca","Balint","1968-05-04","F","D",,,"456948",,,,,,"H2VT01076","https://balint.house.gov/",,true,"2","2024",31,0,0,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:vt/cd:1","1408 Longworth House Office Building","202-225-4115","VT","At-Large",true,"5000",0,43.33,6.67,,,,
"B001299","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001299.json","Jim","Banks","1979-07-16","M","R","RepJimBanks","RepJimBanks","412702","89806","116801","21702","N00037185","/m/0j621nj","H6IN03229","https://banks.house.gov",,true,"8","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:in/cd:3","2418 Longworth House Office Building","202-225-4436","IN","3",false,"1803",0,50,0,,,,
"B001282","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001282.json","Andy","Barr","1973-07-24","M","R","RepAndyBarr","RepAndyBarr","412541","61848","117290","21333","N00031233","/m/0ddc6r6","H0KY06104","https://barr.house.gov",,true,"12","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:ky/cd:6","2430 Rayburn House Office Building","202-225-4706","KY","6",false,"2106",0,50,0,,"RepAndyBarr",,
"B001300","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001300.json","Nanette","Barragán","1976-09-15","F","D","RepBarragan","CongresswomanBarragan","412687","104730","166270","21703","N00037019","/g/11bx55ybbz","H6CA44103","https://barragan.house.gov","https://barragan.house.gov/feed/",true,"8","2024",31,0,0,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:ca/cd:44","2312 Rayburn House Office Building","202-225-8220","CA","44",false,"0644",0,43.33,6.67,,,,
"B001314","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001314.json","Aaron","Bean","1967-01-25","M","R",,,"456888",,,,,,"H2FL04211","https://bean.house.gov/",,true,"2","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:fl/cd:4","1239 Longworth House Office Building","202-225-0123","FL","4",false,"1204",0,50,0,,,,
"B001281","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001281.json","Joyce","Beatty","1950-03-12","F","D","RepBeatty","RepJoyceBeatty","412565","67294","2427","21352","N00033904","/m/03lcwb","H2OH03125","https://beatty.house.gov","https://beatty.house.gov/rss.xml",true,"12","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:oh/cd:3","2079 Rayburn House Office Building","202-225-4324","OH","3",false,"3903",0,46.67,3.33,,,,
"B000668","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000668.json","Cliff","Bentz","1952-01-12","M","R","RepBentz",,"456842",,,,"N00045773","/m/0gfdsjb","H0OR02127","https://bentz.house.gov",,true,"4","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:or/cd:2","409 Cannon House Office Building","202-225-6730","OR","2",false,"4102",0,46.67,3.33,,,,
"B001287","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001287.json","Ami","Bera","1965-03-02","M","D","RepBera","RepAmiBera","412512","1033636","120030","21304","N00030717","/m/0dgqnts","H0CA03078","https://bera.house.gov","https://bera.house.gov/rss.xml",true,"12","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:ca/cd:6","172 Cannon House Office Building","202-225-5716","CA","6",false,"0606",0,50,0,,"repamibera",,
"B001301","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001301.json","Jack","Bergman","1947-02-02","M","R","RepJackBergman","RepJackBergman","412709","1020529","170172","21704","N00039533","/m/05b2l3v","H6MI01226","https://bergman.house.gov",,true,"8","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:mi/cd:1","566 Cannon House Office Building","202-225-4735","MI","1",false,"2601",0,50,0,,"RepJackBergman",,
"B001292","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001292.json","Donald","Beyer","1950-06-20","M","D","RepDonBeyer","RepDonBeyer","412657","21141","1707","21554","N00036018","/m/053g16","H4VA08224","https://beyer.house.gov",,true,"10","2024",31,0,0,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:va/cd:8","1119 Longworth House Office Building","202-225-4376","VA","8",false,"5108",0,46.67,3.33,,,,
"B000740","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000740.json","Stephanie","Bice","1973-11-11","F","R","RepBice",,"456841",,,,"N00044579","/g/11h2hmkrv8","H0OK05205","https://bice.house.gov",,true,"4","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:ok/cd:5","2437 Rayburn House Office Building","202-225-2132","OK","5",false,"4005",0,46.67,3.33,,,,
"B001302","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001302.json","Andy","Biggs","1958-11-07","M","R","RepAndyBiggsAZ","RepAndyBiggs","412683","105145","28088","21705","N00039293","/m/0_1m23v","H6AZ05083","https://biggs.house.gov","https://biggs.house.gov/rss.xml",true,"8","2024",31,0,1,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:az/cd:5","252 Cannon House Office Building","202-225-2635","AZ","5",false,"0405",0,43.33,10,,,,
"B001257","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001257.json","Gus","Bilirakis","1963-02-08","M","R","RepGusBilirakis","GusBilirakis","412250","1022873","17318","20758","N00027462","/m/0dy3z1","H6FL09070","https://bilirakis.house.gov","https://bilirakis.house.gov/rss.xml",true,"20","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:fl/cd:12","2306 Rayburn House Office Building","202-225-5755","FL","12",false,"1212",0,46.67,3.33,,"RepGusBilirakis",,
"B000490","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000490.json","Sanford","Bishop","1947-02-04","M","D","SanfordBishop","sanfordbishop","400030","26194","26817","29339","N00002674","/m/02554k","H2GA02031","https://bishop.house.gov","https://bishop.house.gov/rss.xml",true,"32","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:ga/cd:2","2407 Rayburn House Office Building","202-225-3631","GA","2",false,"1302",0,50,0,"D.","RepSanfordBishop",,"Jr."
"B001311","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001311.json","Dan","Bishop","1964-07-01","M","R","RepDanBishop",,"412844",,"92423",,"N00044335","/m/013bg9xz","H0NC09187","https://danbishop.house.gov",,true,"6","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:nc/cd:8","2459 Rayburn House Office Building","202-225-1976","NC","8",false,"3708",0,50,0,,,,
"B000574","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000574.json","Earl","Blumenauer","1948-08-16","M","D","BlumenauerMedia",,"400033","43809","367","29588","N00007727","/m/033tw8","H6OR03064","https://blumenauer.house.gov","https://blumenauer.house.gov/rss.xml",true,"30","2024",31,0,0,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:or/cd:3","1111 Longworth House Office Building","202-225-4811","OR","3",false,"4103",0,46.67,3.33,,"RepBlumenauer",,
"B001303","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001303.json","Lisa","Blunt Rochester","1962-02-10","F","D","RepLBR","Rep.BluntRochester","412689","104772","173249","21706","N00038414","/g/11c328y56v","H6DE00206","https://bluntrochester.house.gov",,true,"8","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:de/cd:1","1724 Longworth House Office Building","202-225-4165","DE","At-Large",true,"1000",0,50,0,,,,
"B000825","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000825.json","Lauren","Boebert","1986-12-15","F","R","RepBoebert",,"456805",,,,"N00045974","/g/11j2v06x6p","H0CO03165","https://boebert.house.gov",,true,"4","2024",31,0,2,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:co/cd:3","1713 Longworth House Office Building","202-225-4761","CO","3",false,"0803",0,43.33,13.33,,,,
"B001278","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001278.json","Suzanne","Bonamici","1954-10-14","F","D","RepBonamici","congresswomanbonamici","412501","63966","59641","21198","N00033474","/m/02q453x","H2OR01133","https://bonamici.house.gov","https://bonamici.house.gov/rss.xml",true,"14","2024",31,0,0,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:or/cd:1","2231 Rayburn House Office Building","202-225-0855","OR","1",false,"4101",0,43.33,6.67,,"RepSuzanneBonamici",,
"B001295","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001295.json","Mike","Bost","1960-12-30","M","R","RepBost","RepBost","412629","76176","6302","21519","N00035420","/m/0kry42","H4IL12060","https://bost.house.gov",,true,"10","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:il/cd:12","352 Cannon House Office Building","202-225-5661","IL","12",false,"1712",0,50,0,,,,
"B001223","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001223.json","Jamaal","Bowman","1976-04-01","M","D","RepBowman",,"456839",,,,"N00044790","/g/11fsgvc0xx","H0NY16143","https://bowman.house.gov",,true,"4","2024",31,0,0,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:ny/cd:16","345 Cannon House Office Building","202-225-2464","NY","16",false,"3616",0,43.33,6.67,,,,
"B001296","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001296.json","Brendan","Boyle","1977-02-06","M","D","CongBoyle","CongressmanBoyle","412652","76428","47357","21548","N00035307","/m/04f4fjk","H4PA13199","https://boyle.house.gov","https://boyle.house.gov/rss.xml",true,"10","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:pa/cd:2","1502 Longworth House Office Building","202-225-6111","PA","2",false,"4202",0,50,0,,,,
"B001317","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001317.json","Josh","Brecheen","1979-06-19","M","R",,,"456931",,,,,,"H2OK02315","https://brecheen.house.gov/",,true,"2","2024",31,1,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:ok/cd:2","1208 Longworth House Office Building","202-225-2701","OK","2",false,"4002",3.23,48.28,0,,,,
"B001313","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001313.json","Shontel","Brown","1975-06-24","F","D","RepShontelBrown",,"456863",,,,"N00047875",,"H2OH11169","https://shontelbrown.house.gov",,true,"4","2024",31,0,0,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:oh/cd:11","449 Cannon House Office Building","202-225-7032","OH","11",false,"3911",0,43.33,6.67,,,,
"B001285","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001285.json","Julia","Brownley","1952-08-28","F","D","RepBrownley","RepJuliaBrownley","412516","79783","59904","21308","N00034254","/m/027z42z","H2CA00120","https://juliabrownley.house.gov","https://juliabrownley.house.gov/category/press-releases/feed/",true,"12","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:ca/cd:26","2262 Rayburn House Office Building","202-225-5811","CA","26",false,"0626",0,50,0,,"RepJuliaBrownley",,
"B001260","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001260.json","Vern","Buchanan","1951-05-08","M","R","VernBuchanan","CongressmanBuchanan","412196","1021626","66247","20709","N00027626","/m/0gtjsp","H6FL13148","https://buchanan.house.gov","https://buchanan.house.gov/rss.xml",true,"18","2024",31,4,0,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:fl/cd:16","2110 Rayburn House Office Building","202-225-5015","FL","16",false,"1216",12.9,42.31,0,,"vernbuchanan",,
"B001297","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001297.json","Ken","Buck","1959-02-16","M","R","RepKenBuck","repkenbuck","412619","78285","125319","21510","N00030829","/m/05zzjd2","S0CO00237","https://buck.house.gov","https://buck.house.gov/rss.xml",true,"10","2024",31,7,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:co/cd:4","2455 Rayburn House Office Building","202-225-4676","CO","4",false,"0804",22.58,56.52,0,,,,
"B001275","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001275.json","Larry","Bucshon","1962-05-31","M","R","RepLarryBucshon","RepLarryBucshon","412427","61837","120335","21132","N00031227","/m/0dd9k_y","H0IN08114","https://bucshon.house.gov",,true,"14","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:in/cd:8","2313 Rayburn House Office Building","202-225-4636","IN","8",false,"1808",0,50,0,,"RepLarryBucshon",,
"B001315","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001315.json","Nikki","Budzinski","1977-03-11","F","D",,,"456901",,,,,,"H2IL13153","https://budzinski.house.gov/",,true,"2","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:il/cd:13","1009 Longworth House Office Building","202-225-2371","IL","13",false,"1713",0,50,0,,,,
"B001309","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001309.json","Tim","Burchett","1964-08-25","M","R","RepTimBurchett",,"412817",,"24379",,"N00041594","/m/03yt07","H8TN02119","https://burchett.house.gov",,true,"6","2024",31,0,0,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:tn/cd:2","1122 Longworth House Office Building","202-225-5435","TN","2",false,"4702",0,43.33,6.67,,,,
"B001248","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001248.json","Michael","Burgess","1950-12-23","M","R","MichaelCBurgess","michaelcburgess","400052","1003620","50120","20355","N00025219","/m/03tq8_","H2TX26093","https://burgess.house.gov","https://burgess.house.gov/news/rss.aspx",true,"22","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:tx/cd:26","2161 Rayburn House Office Building","202-225-7772","TX","26",false,"4826",0,46.67,3.33,"C.","michaelcburgessmd",,
"B001316","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001316.json","Eric","Burlison","1976-10-02","M","R",,,"456910",,"104635",,,,"H2MO07143","https://burlison.house.gov/",,true,"2","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:mo/cd:7","1108 Longworth House Office Building","202-225-6536","MO","7",false,"2907",0,50,0,,,,
"B001224","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001224.json","Cori","Bush","1976-07-21","F","D","RepCori",,"456829",,,,"N00039373","/g/11cntkcbkt","H8MO01143","https://bush.house.gov",,true,"4","2024",31,0,0,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:mo/cd:1","2463 Rayburn House Office Building","202-225-2406","MO","1",false,"2901",0,43.33,6.67,,,,
"C000059","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000059.json","Ken","Calvert","1953-06-08","M","R","KenCalvert","70063393423","400057","26709","26777","29323","N00007099","/m/024xl1","H2CA37023","https://calvert.house.gov","https://calvert.house.gov/rss.xml",true,"32","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:ca/cd:41","2205 Rayburn House Office Building","202-225-1986","CA","41",false,"0641",0,50,0,,"RepKenCalvert",,
"C001039","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001039.json","Kat","Cammack","1988-02-16","F","R","RepKatCammack",,"456806",,,,"N00045978","/g/11fsp_lppx","H0FL03175","https://cammack.house.gov",,true,"4","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:fl/cd:3","2421 Rayburn House Office Building","202-225-5744","FL","3",false,"1203",0,46.67,3.33,,,,
"C001134","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001134.json","Yadira","Caraveo","1980-12-23","F","D",,,"456887",,,,,,"H2CO08020","https://caraveo.house.gov/",,true,"2","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:co/cd:8","1024 Longworth House Office Building","202-225-5625","CO","8",false,"0808",0,50,0,,,,
"C001112","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001112.json","Salud","Carbajal","1964-11-18","M","D","RepCarbajal","repsaludcarbajal","412686","104728","81569","21709","N00037015","/g/11c2q53dct","H6CA24303","https://carbajal.house.gov",,true,"8","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:ca/cd:24","2331 Rayburn House Office Building","202-225-3601","CA","24",false,"0624",0,50,0,,"repcarbajal",,
"C001097","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001097.json","Tony","Cárdenas","1963-03-31","M","D","RepCardenas","repcardenas","412517","63934","9754","21309","N00033373","/m/0cgzsw","H2CA28113","https://cardenas.house.gov",,true,"12","2024",31,1,0,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:ca/cd:29","2181 Rayburn House Office Building","202-225-6131","CA","29",false,"0629",3.23,44.83,3.45,,"repcardenas",,
"C001126","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001126.json","Mike","Carey","1971-03-13","M","R","RepMikeCarey",,"456864",,,,"N00048568",,"H2OH15228","https://carey.house.gov",,true,"4","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:oh/cd:15","1433 Longworth House Office Building","202-225-2015","OH","15",false,"3915",0,50,0,,,,
"C001054","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001054.json","Jerry","Carl","1958-06-17","M","R","RepJerryCarl",,"456799",,,,"N00044245","/g/11j2j1brnb","H0AL01055","https://carl.house.gov",,true,"4","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:al/cd:1","1330 Longworth House Office Building","202-225-4931","AL","1",false,"0101",0,46.67,3.33,,,,
"C001072","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001072.json","André","Carson","1974-10-16","M","D","RepAndreCarson","CongressmanAndreCarson","412258","1027364","84917","20757","N00029513","/m/03qcvz1","H8IN07184","https://carson.house.gov","https://carson.house.gov/rss.xml",true,"18","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:in/cd:7","2135 Rayburn House Office Building","202-225-4011","IN","7",false,"1807",0,50,0,,"repandrecarson",,
"C001125","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001125.json","Troy","Carter","1963-10-26","M","D","RepTroyCarter",,"456860",,,,"N00025766",,"H2LA02149","https://troycarter.house.gov",,true,"4","2024",31,0,0,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:la/cd:2","442 Cannon House Office Building","202-225-6636","LA","2",false,"2202",0,43.33,6.67,,,,
"C001103","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001103.json","Buddy","Carter","1957-09-06","M","R","RepBuddyCarter","congressmanbuddycarter","412622","76158","32085","21513","N00035346","/m/0w32xj9","H4GA01039","https://buddycarter.house.gov",,true,"10","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:ga/cd:1","2432 Rayburn House Office Building","202-225-5831","GA","1",false,"1301",0,50,0,,,,
"C001051","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001051.json","John","Carter","1941-11-06","M","R","JudgeCarter","judgecarter","400068","1004257","49296","20356","N00025095","/m/04m7rg","H2TX31044","https://carter.house.gov",,true,"22","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:tx/cd:31","2208 Rayburn House Office Building","202-225-3864","TX","31",false,"4831",0,50,0,,"repjohncarter",,
"C001090","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001090.json","Matt","Cartwright","1961-05-01","M","D","RepCartwright","CongressmanMattCartwright","412571","79865","136236","21358","N00034128","/m/0j_6b9d","H2PA17079","https://cartwright.house.gov",,true,"12","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:pa/cd:8","2102 Rayburn House Office Building","202-225-5546","PA","8",false,"4208",0,50,0,,,,
"C001131","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001131.json","Greg","Casar","1989-05-04","M","D",,,"456945",,,,,,"H2TX35144","https://casar.house.gov/",,true,"2","2024",31,0,0,"2023-01-17 02:00:09 -0500","ocd-division/country:us/state:tx/cd:35","1339 Longworth House Office Building","202-225-5645","TX","35",false,"4835",0,43.33,6.67,,,,
"C001055","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001055.json","Ed","Case","1952-09-27","M","D","RepEdCase",,"400069",,,"20322","N00025882",,"H2HI02128","https://case.house.gov",,true,"6","2024",31,0,0,"2023-01-17 02:00:11 -0500","ocd-division/country:us/state:hi/cd:1","2210 Rayburn House Office Building","202-225-2726","HI","1",false,"1501",0,50,0,,,,
"C001117","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001117.json","Sean","Casten","1971-11-23","M","D","RepCasten","RepSeanCasten","412775",,"176982",,"N00041338","/g/11hc_0775g","H8IL06139","https://casten.house.gov",,true,"6","2024",31,0,0,"2023-01-17 02:00:10 -0500","ocd-division/country:us/state:il/cd:6","2440 Rayburn House Office Building","202-225-4561","IL","6",false,"1706",0,46.67,3.33,,,,
