symbol,name,industry,supersector,sector,subsector,listingDate,issueShare,listedValue,marketCap
"NQT","Quang Tri Clean Water Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","09/12/2016 00:00:00","18233269.0","0","145866152000.0"
"NRC","Danh Khoi Group Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","05/04/2018 00:00:00","88188686.0","361573612600.00","379650824200.0"
"NS2","Hanoi Water Supply Number 2 Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","30/11/2016 00:00:00","56800000.0","0","397600000000.0"
"NSC","Vietnam National Seed Group Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","21/12/2006 00:00:00","17586988.0","1239882654000.00","1239003378000.0"
"NSG","Sai Gon Plastic Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","19/05/2016 00:00:00","8639208.0","0","120948912000.0"
"NSH","Song Hong Aluminum Shalumi Group Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Aluminum","31/07/2017 00:00:00","20693437.0","91051122800.00","91051122800.0"
"NSL","SonLa Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","22/07/2019 00:00:00","10000000.0","180000000000.00","177497497250.0"
"NSS","Dong Nai Agricultural Livestock Product Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","30/10/2018 00:00:00","10263942.0","0","30791826000.0"
"NST","Ngan Son Joint Stock Company","Consumer Goods","Personal & Household Goods","Tobacco","Tobacco","29/12/2006 00:00:00","11202003.0","67212018000.00","67212018000.0"
"NT2","PetroVietnam Power Nhon Trach 2 Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","22/01/2010 00:00:00","287876029.0","8463555252600.00","8463555252600.0"
"NTB","Transport Engineering Construction And Business Investment Joint Stock Company 584","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","17/05/2010 00:00:00","39779577.0","19889788500.00","19929568077.0"
"NTC","Nam Tan Uyen Joint Stock Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","19/12/2016 00:00:00","23999980.0","2963997530000.00","2960901532580.0"
"NTF","Nghe An Pharmaceutical Medical Material and Equipment Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","04/07/2019 00:00:00","6000000.0","0","126000000000.0"
"NTH","Nuoc trong Thermal Power Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","19/06/2019 00:00:00","10802053.0","550904703000.00","550904703000.0"
"NTL","Tu Liem Urban Development Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","21/12/2007 00:00:00","60989950.0","1030730155000.00","1030730155000.0"
"NTP","Tien Phong Plastics Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","11/12/2006 00:00:00","129575334.0","4146410688000.00","4146410688000.0"
"NTT","Nha Trang Textile & Garment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","27/12/2017 00:00:00","23500000.0","164500000000.00","164500000000.0"
"NTW","Nhon Trach Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","09/04/2012 00:00:00","10000000.0","0","155000000000.0"
"NUE","Nha Trang Urban Environmental Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","20/02/2017 00:00:00","6000000.0","0","57000000000.0"
"NVB","National Citizen Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","13/09/2010 00:00:00","560155587.0","10867018387800.00","10801989587800.0"
"NVL","No Va Land Investment Group Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","28/12/2016 00:00:00","1950104538.0","22718717867700.00","22718717867700.0"
"NVP","Vinh Phuc Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","15/12/2016 00:00:00","10963000.0","0","78933600000.0"
"NVT","Ninh Van Bay Travel Real Estate Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","07/05/2010 00:00:00","90500000.0","691420000000.00","691420000000.0"
"NWT","Newway Transport Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","30/03/2016 00:00:00","8500000.0","0","85000000000.0"
"NXT","Kon Tum Construction Materials Supply And Production Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","09/12/2021 00:00:00","6600000.0","0","74580000000.0"
"OCB","Orient Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","28/01/2021 00:00:00","1369882863.0","23630479386750.00","23630479386750.0"
"OCH","One Capital Hospitality Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","01/10/2010 00:00:00","200000000.0","1520000000000.00","1520000000000.0"
"ODE","ODE Media and Entertainment Group Joint Stock Company","Consumer Services","Media","Media","Broadcasting & Entertainment","10/01/2022 00:00:00","10000000.0","464000000000.00","463820000000.0"
"OGC","Ocean Group Joint Stock Company","Financials","Financial Services","Financial Services","Specialty Finance","04/05/2010 00:00:00","300000000.0","2547000000000.00","2546999991510.0"
"OIL","PetroVietnam Oil Corporation","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production","07/03/2018 00:00:00","201425936.0","1853118611200.00","9514911400000.0"
"ONE","One Communication Technology Corporation","Technology","Technology","Technology Hardware & Equipment","Computer Hardware","24/06/2008 00:00:00","7960310.0","44577736000.00","44204484800.0"
"ONW","One World Services Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Recreational Services","17/02/2017 00:00:00","2000000.0","0","8800000000.0"
"OPC","OPC Pharmaceutial Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","30/10/2008 00:00:00","64050892.0","1614082478400.00","1614082478400.0"
"ORS","Tien Phong Securities Corporation","Financials","Financial Services","Financial Services","Investment Services","12/07/2010 00:00:00","200000000.0","1766000000000.00","1766000000000.0"
"PAC","Dry Cell and Storage Battery Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electrical Components & Equipment","12/12/2006 00:00:00","46471707.0","1521948404250.00","1521948404250.0"
"PAI","Petroleum Information Technology Telecom and Automation Joint Stock Company","Telecommunications","Telecommunications","Fixed Line Telecommunications","Fixed Line Telecommunications","23/01/2017 00:00:00","4235290.0","0","51670538000.0"
"PAN","The PAN Group Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","22/12/2006 00:00:00","216358580.0","3429283493000.00","3310981787500.0"
"PAP","Petro Vietnam Phuoc An Port Investment & Operation Join Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","14/07/2021 00:00:00","200000000.0","3440000000000.00","3402000000000.0"
"PAS","Phuong Anh International Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","21/09/2020 00:00:00","28049968.0","126224856000.00","125523606800.0"
"PAT","Vietnam Apatite - Phosphorus Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","17/06/2022 00:00:00","25000000.0","2100000000000.00","2112750000000.0"
"PBC","Pharbaco Central Pharmaceutical Joint Stock Company No. 1","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","26/11/2019 00:00:00","113299902.0","1574868637800.00","1574868637800.0"
"PBP","PetroVietnam Packaging Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","27/01/2015 00:00:00","4799516.0","57114240400.00","57114240400.0"
"PBT","Petro Vietnam Building and Commercial Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","18/01/2019 00:00:00","17522284.0","0","127912673200.0"
"PC1","PC1 Group Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","16/11/2016 00:00:00","270433002.0","7234082803500.00","7247604453600.0"
"PCC","Petrolimex Construction 1 Joint Stock Company Group","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","14/11/2017 00:00:00","11500000.0","161000000000.00","161000000000.0"
"PCE","Central Petrovietnam Fertilizer and Chemicals Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","23/07/2015 00:00:00","10000000.0","0","270000000000.0"
"PCF","PETEC Coffee Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Soft Drinks","29/03/2017 00:00:00","3000000.0","8400000000.00","8400000000.0"
"PCG","PetroVietnam Gas City Investment and Deverlopment Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","29/12/2010 00:00:00","18870000.0","116994000000.00","116994000000.0"
"PCH","Picomat Plastic Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","28/07/2022 00:00:00","20000000.0","100000000000.00","100000000000.0"
"PCM","Post and Telecommunications Construction Material Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","10/08/2017 00:00:00","4000000.0","0","69776000000.0"
"PCN","DMC - Northern Petroleum Chemicals Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","18/12/2015 00:00:00","3924550.0","0","29041670000.0"
"PCT","Vietnam Gas and Chemicals Transportation Corporation","Industrials","Industrial Goods & Services","Industrial Transportation","Trucking","12/09/2011 00:00:00","27599896.0","137999480000.00","137999480000.0"
"PDB","DIN Capital Investment Group Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","03/08/2015 00:00:00","8909981.0","88208811900.00","88208811900.0"
"PDC","Phuong Dong Petroleum Tourism Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","29/09/2009 00:00:00","15000000.0","58500000000.00","60660000000.0"
"PDN","Dong Nai Port Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","26/10/2011 00:00:00","18521954.0","2335618399400.00","2335618399400.0"
"PDR","Phat Dat Real Estate Development Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","30/07/2010 00:00:00","671646219.0","7354526098050.00","7354526098050.0"
"PDV","Phuong Dong Viet Shipping and Logistics Corporation","Industrials","Industrial Goods & Services","Industrial Transportation","Marine Transportation","20/04/2017 00:00:00","25109986.0","349028805400.00","428135627332.0"
"PEC","Power Engineering Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Engineering","Industrial Machinery","06/10/2010 00:00:00","3115409.0","0","24923272000.0"
"PEG","PETEC Trading and Investment Corporation","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","05/11/2018 00:00:00","231898919.0","0","1816805531000.0"
"PEN","Petrolimex Installation No.3 joint stock company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","25/09/2014 00:00:00","5000000.0","0","35000000000.0"
"PEQ","Petrolimex Equipment Joint Stock Company","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services","18/01/2016 00:00:00","4965514.0","0","186206775000.0"
"PET","Petrovietnam General Services Corporation","Consumer Services","Retail","General Retailers","Specialty Retailers","12/09/2007 00:00:00","90450124.0","1944677666000.00","2124614885500.0"
"PFL","Petroleum Dong Do Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","17/11/2010 00:00:00","50000000.0","150000000000.00","149250000000.0"
"PGB","Petrolimex Group Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","24/12/2020 00:00:00","300000000.0","5460000000000.00","5499600000000.0"
"PGC","Petrolimex Gas Corporation - Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","24/11/2006 00:00:00","60342638.0","941345152800.00","941292846000.0"
"PGD","Petro Viet Nam Low Pressure Gas Distribution Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","26/11/2009 00:00:00","89999025.0","2825969385000.00","2825939398000.0"
"PGI","Petrolimex Insurance Corporation","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","29/07/2011 00:00:00","110896796.0","0","2938765094000.0"
"PGN","Plastic Additives Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","04/07/2019 00:00:00","8450940.0","65072238000.00","65072238000.0"
"PGS","Southern Gas Trading Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","15/11/2007 00:00:00","50000000.0","1345000000000.00","1344967558600.0"
"PGT","PGT Holdings Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","25/12/2009 00:00:00","9241801.0","31422123400.00","31422123400.0"
"PGV","Power Generation Joint Stock Corporation 3","Utilities","Utilities","Electricity","Conventional Electricity","21/03/2018 00:00:00","1123468046.0","21121199264800.00","21121199264800.0"
"PHC","Phuc Hung Holdings Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","05/11/2009 00:00:00","50602094.0","307660731520.00","308146116160.0"
"PHH","Hong Ha Vietnam Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","17/03/2010 00:00:00","20000000.0","0","92310000000.0"
"PHN","Hanoi Battery Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electrical Components & Equipment","13/03/2019 00:00:00","7253911.0","0","286529484500.0"
"PHP","Hai Phong Port Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","12/08/2015 00:00:00","326960000.0","5689104000000.00","5676025600000.0"
"PHR","Phuoc Hoa Rubber Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","18/08/2009 00:00:00","135499198.0","5704516235800.00","5704516235800.0"
"PHS","Phu Hung Securities Corporation","Financials","Financial Services","Financial Services","Investment Services","31/07/2019 00:00:00","150009819.0","0","2250139935000.0"
"PIA","Petrolimex Information Technology and Telecommunication Joint Stock Company","Telecommunications","Telecommunications","Fixed Line Telecommunications","Fixed Line Telecommunications","22/02/2017 00:00:00","3900000.0","102960000000.00","102960000000.0"
"PIC","PC3-Investment Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","05/08/2015 00:00:00","33339891.0","0","533438256000.0"
"PID","Petroleum Interior Decoration Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","22/11/2012 00:00:00","4000000.0","0","22800000000.0"
"PIS","PISICO Binh Dinh Corporation Joint Stock Company","Basic Materials","Basic Resources","Forestry & Paper","Forestry","12/01/2016 00:00:00","27500000.0","0","464750000000.0"
"PIT","Petrolimex International Trading Joint Stock Company","Consumer Services","Retail","General Retailers","Broadline Retailers","24/01/2008 00:00:00","15199345.0","69916987000.00","65367035000.0"
"PIV","PIV Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Services","18/08/2010 00:00:00","17324942.0","17324942000.00","17775390492.0"
"PJC","Petrolimex Ha Noi Transportation and Trading Joint-Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","25/12/2006 00:00:00","7326928.0","0","168517803000.0"
"PJS","Phu Hoa Tan Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","05/12/2011 00:00:00","9000000.0","130500000000.00","128655000000.0"
"PJT","Petrolimex Joint Stock Tanker Company","Industrials","Industrial Goods & Services","Industrial Transportation","Marine Transportation","28/12/2006 00:00:00","23040717.0","205062381300.00","205062381300.0"
"PLA","Petroleum Logistic Service and Investment Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","20/11/2017 00:00:00","10000000.0","0","43000000000.0"
"PLC","Petrolimex Petrochemical Corporation","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","27/12/2006 00:00:00","80798839.0","2432045053900.00","2432006736600.0"
"PLE","Petrolimex Engineering Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","07/01/2021 00:00:00","1215000.0","0","39001500000.0"
"PLO","Petec Logistics Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","10/04/2020 00:00:00","7192550.0","15823610000.00","15823610000.0"
"PLP","Pha Le Plastics Manufacturing and Technology Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","21/08/2017 00:00:00","70000000.0","308000000000.00","307999326800.0"
"PLX","Vietnam National Petroleum Group","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production","21/04/2017 00:00:00","1293878081.0","49943693926600.00","49044860271000.0"
"PMB","North PetroVietnam Fertilizer and Chemicals Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","07/10/2015 00:00:00","12000000.0","120000000000.00","120000000000.0"
"PMC","Pharmedic Pharmaceutical Medicinal Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","09/10/2009 00:00:00","9332573.0","0","642081022400.0"
"PMG","Petro Center Corporation","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","25/01/2018 00:00:00","46336278.0","0","467996407800.0"
"PMJ","Posts and Telecommunications Material Supply Joint Stock Company","Technology","Technology","Technology Hardware & Equipment","Telecommunications Equipment","29/06/2016 00:00:00","1800000.0","0","45000000000.0"
"PMP","Dam Phu My Packing Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","22/09/2015 00:00:00","4200000.0","0","46200000000.0"
"PMS","Petroleum Mechanical Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Engineering","Industrial Machinery","04/11/2003 00:00:00","7227662.0","187919212000.00","187246072000.0"
"PMT","Telvina Vietnam Communication Joint Stock Company","Technology","Technology","Technology Hardware & Equipment","Telecommunications Equipment","22/07/2010 00:00:00","5000000.0","0","34580000000.0"
"PMW","Phu My Water Supply Joint-Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","17/07/2019 00:00:00","46999832.0","0","1231395598400.0"
"PNC","Phuong Nam Cultural Joint Stock Company","Consumer Services","Media","Media","Publishing","11/07/2005 00:00:00","11040241.0","0","107993510000.0"
"PND","PetroVietnam Oil Nam Dinh Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","20/02/2017 00:00:00","6666666.0","57999994200.00","57999994200.0"
"PNG","Phu Nhuan Trading Joint Stock Company","Consumer Services","Retail","General Retailers","Broadline Retailers","05/04/2016 00:00:00","9000000.0","0","243000000000.0"
"PNJ","Phu Nhuan Jewelry Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Personal Products","23/03/2009 00:00:00","328169188.0","27238042604000.00","27223969207000.0"
"PNP","Huu Phu - Newport Corporation","Industrials","Industrial Goods & Services","Industrial Transportation","Marine Transportation","17/05/2019 00:00:00","16100000.0","0","297850000000.0"
"PNT","Phu Nhuan Technical Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","12/01/2017 00:00:00","9282802.0","66836174400.00","66832358400.0"
"POB","Thai Binh Petrovietnam Oil Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","29/09/2017 00:00:00","10900000.0","0","553720000000.0"
"POM","Pomina Steel Corporation","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","20/04/2010 00:00:00","279676336.0","1521439267840.00","1498564277480.0"
"POS","PTSC Offshore Services Joint Stock Company","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services","25/11/2016 00:00:00","40000000.0","400000000000.00","400000000000.0"
"POT","Post and Telecommunication Equipment JSC","Technology","Technology","Technology Hardware & Equipment","Computer Hardware","20/12/2006 00:00:00","19430006.0","334196103200.00","334196103200.0"
"POV","Vung Ang Petroleum Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","23/09/2010 00:00:00","12499612.0","113746469200.00","113558975020.0"
"POW","PetroVietnam Power Corporation","Utilities","Utilities","Electricity","Conventional Electricity","06/03/2018 00:00:00","2341871600.0","29039207840000.00","29039207840000.0"
"PPC","Pha Lai Thermal Power Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","26/01/2007 00:00:00","326235000.0","4795654500000.00","4713011893800.0"
"PPE","PP Enterprise Investment Consultancy Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Business Support Services","21/09/2011 00:00:00","2000000.0","0","22600000000.0"
"PPH","Phong Phu Corporation","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","23/08/2017 00:00:00","74670891.0","1762233027600.00","1764099799875.0"
"PPI","Pacific Infrastructure Project Development And Investment Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","12/04/2010 00:00:00","48290629.0","28974377400.00","29119249287.0"
"PPP","Phong Phu Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","18/07/2011 00:00:00","8799991.0","117919879400.00","117919879400.0"
"PPS","PetroVietnam Power Services Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Business Support Services","07/01/2011 00:00:00","15000000.0","171000000000.00","171000000000.0"
"PPT","Petro Times Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","17/06/2022 00:00:00","15000000.0","289500000000.00","290520000000.0"
"PPY","Petrovietnam Oil Phu Yen Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","02/03/2016 00:00:00","9343974.0","83161368600.00","83161368600.0"
"PQN","PTSC Quang Ngai Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","04/10/2019 00:00:00","30000000.0","0","120000000000.0"
"PRC","Portserco Logistics Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Trucking","29/11/2010 00:00:00","1200000.0","58200000000.00","58200000000.0"
"PRE","PVI Reinsurance Joint Stock Corporation","Financials","Insurance","Nonlife Insurance","Reinsurance","24/12/2020 00:00:00","72800000.0","1310400000000.00","1879200000000.0"
"PRO","Viet Nam  Procimex Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","10/10/2014 00:00:00","3000000.0","0","25500000000.0"
"PRT","Binh Duong Producing and Trading Corporation","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","07/05/2018 00:00:00","300000000.0","3300000000000.00","3228000000000.0"
"PSB","Sao Mai - Ben Dinh Petroleum Investment Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","25/02/2010 00:00:00","50000000.0","290000000000.00","268350000000.0"
"PSC","Petrolimex Saigon Transportation And Service Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Trucking","29/12/2006 00:00:00","7200000.0","91440000000.00","91440000000.0"
"PSD","Petroleum General Distribution Services Joint Stock Company","Consumer Services","Retail","General Retailers","Specialty Retailers","28/06/2013 00:00:00","39887409.0","638198544000.00","638198544000.0"
"PSE","South-East PetroVietnam Fertilizer and Chemicals Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","18/03/2015 00:00:00","12500000.0","122500000000.00","122500000000.0"
"PSG","Saigon Petroleum Construction and Investment Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","15/03/2011 00:00:00","35000000.0","42000000000.00","42000000000.0"
"PSH","Nam Song Hau Trading Investing Petroleum Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","24/06/2020 00:00:00","126196780.0","820279070000.00","820103570000.0"
"PSI","Petrovietnam Securities Incorporated","Financials","Financial Services","Financial Services","Investment Services","21/07/2010 00:00:00","59841300.0","341095410000.00","341095410000.0"
"PSL","Phu Son LiveStock Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","17/05/2010 00:00:00","11812500.0","0","179550000000.0"
"PSN","PTSC Thanh Hoa Technical Services Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","29/06/2017 00:00:00","40000000.0","0","400000000000.0"
"PSP","Dinh Vu Petroleum Service Port Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Trucking","10/11/2009 00:00:00","40000000.0","0","280000000000.0"
"PSW","South West PetroVietNam Fertilizer and Chemicals Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","05/07/2013 00:00:00","17000000.0","134300000000.00","134300000000.0"
"PTB","Phu Tai Joint Stock Company","Basic Materials","Basic Resources","Forestry & Paper","Forestry","22/07/2011 00:00:00","68038403.0","2912043648400.00","2915445568550.0"
"PTC","ICAPITAL Investment Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","15/12/2008 00:00:00","32307324.0","171228817200.00","170615607200.0"
"PTD","Phuc Thinh Design Construction Trading Corporation","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","14/01/2011 00:00:00","3200000.0","0","66880000000.0"
"PTE","Phu Tho Cement Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","12/08/2015 00:00:00","12500000.0","0","77636966400.0"
"PTG","Phan Thiet Garment Import Export Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","04/01/2010 00:00:00","4996185.0","0","1498855500.0"
"PTH","Ha Tay Petrolimex Transportation and Service JSC","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","23/03/2010 00:00:00","3503164.0","0","57451889600.0"
"PTI","Post & Telecommunication Joint Stock Insurance Corporation","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","02/03/2011 00:00:00","80395709.0","0","2958562091200.0"
"PTL","Victory Capital Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","22/09/2010 00:00:00","100000000.0","390000000000.00","385573812000.0"
"PTN","Khanh Hoa House Development Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","14/10/2022 00:00:00","5801924.0","0","49896546400.0"
"PTO","Post and Telecommunication Services Construction Work Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","20/06/2017 00:00:00","1200000.0","0","21840000000.0"
"PTP","Post Printing And Telecommunication Services Joint Stock Company","Telecommunications","Telecommunications","Fixed Line Telecommunications","Fixed Line Telecommunications","10/12/2009 00:00:00","6800000.0","0","50035252500.0"
"PTS","Hai Phong Petrolimex Transportation and Services Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Trucking","01/12/2006 00:00:00","5568000.0","57907200000.00","57907200000.0"
"PTT","Indochina Petroleum Transportation Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Trucking","29/04/2010 00:00:00","10000000.0","0","120000000000.0"
"PTV","Petroleum Trading Joint Stock Company","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services","05/11/2019 00:00:00","20000000.0","90000000000.00","90000000000.0"
"PTX","Petrolimex Nghe Tinh Transportation and Service Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Trucking","30/07/2018 00:00:00","5847685.0","0","2923842500.0"
"PV2","PV2 Investment Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","16/12/2010 00:00:00","37350000.0","78435000000.00","77424480000.0"
"PVA","PetroVietnam - Nghe An Construction Joint Stock Corporation","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","12/12/2008 00:00:00","21846000.0","30584400000.00","30540708000.0"
"PVB","PetroVietnam Coating Joint Stock Company","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services","24/12/2013 00:00:00","21599998.0","274319974600.00","274319974600.0"
"PVC","Petrovietnam Chemical and Services Corporation","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services","15/11/2007 00:00:00","50000000.0","740000000000.00","740000000000.0"
